,PMID,pathNames,tagged_As
21,29954016,Brucella abortus B.;Rickettsia prowazekii R.;Dengue virus 1 DENV;La Crosse virus  LCV;Staphylococcus aureus S.;Staphylococcus aureus subsp. Aureus S.;Variola minor virus VMV;Chlamydophila psittaci C.;Crimean-Congo hemorrhagic fever virus CCHFV;Dengue virus DENV;Lymphocytic choriomeningitis virus LCV;Variola major virus VMV;Marburgvirus MV;Dengue virus 2 DENV;Japanese encephalitis virus JEV;Coxiella burnetii C.;Guanarito virus GV;California encephalitis virus  CEV;Staphylococcus aureus subsp. aureus S.;Listeria monocytogenes L.;Kyasanur forest disease virus KFDV;Listeria monocytogenes str. 1/2a F6854 L.;Brucella canis B.;Dengue virus 3 DENV;Brucella sp. B.;Kunjin virus KV;Rickettsia conorii R.;Yersinia pestis Y.;Dengue virus 4 DENV;Tahyna virus TV;Rickettsia typhi R.;Variola virus VV;H1N1 subtype H.;Brucella melitensis B.;Brucella suis B.;Francisella tularensis F.;Coxiella burnetii RSA 493 C.;Burkholderia pseudomallei B.;West Nile virus  WNV;Western equine encephalomyelitis virus WEEV;Alkhurma hemorrhagic fever virus AHFV;Francisella tularensis subsp. holarctica F.;Dengue virus  DEN,headache
22,29954016,Clostridium botulinum E C.;Clostridium botulinum A C.;Crimean-Congo hemorrhagic fever virus CCHFV;Marburgvirus M,dizziness
23,29954016,Clostridium botulinum C.;Rickettsia prowazekii R,symptoms
24,29954013,Clostridium botulinum C.;Rickettsia prowazekii R,symptoms
25,29954010,West Nile virus  WNV;Listeria monocytogenes L,status
26,29954010,West Nile virus  WNV;Listeria monocytogenes L,status
27,29954008,Francisella tularensis F.;Variola virus VV;Burkholderia pseudomallei B.;Bacillus anthracis B,lesions
28,29954008,Francisella tularensis F.;Variola virus VV;Burkholderia pseudomallei B.;Bacillus anthracis B,lesions
29,29954008,Francisella tularensis F.;Variola virus VV;Burkholderia pseudomallei B.;Bacillus anthracis B,lesions
30,29954003,Clostridium botulinum C.;Rickettsia prowazekii R,symptoms
31,29954002,Rickettsia prowazekii R,coordination
32,29954000,Kunjin virus KV;Chlamydophila psittaci C.;Burkholderia pseudomallei B.;Campylobacter jejuni C,respiratory
33,29954000,Kunjin virus KV;Chlamydophila psittaci C.;Burkholderia pseudomallei B.;Campylobacter jejuni C,failure
34,29954000,Kunjin virus KV;Chlamydophila psittaci C.;Burkholderia pseudomallei B.;Campylobacter jejuni C,respiratory
35,29954000,Kunjin virus KV;Chlamydophila psittaci C.;Burkholderia pseudomallei B.;Campylobacter jejuni C,failure
36,29954000,Kunjin virus KV;Chlamydophila psittaci C.;Burkholderia pseudomallei B.;Campylobacter jejuni C,respiratory
37,29954000,Kunjin virus KV;Chlamydophila psittaci C.;Burkholderia pseudomallei B.;Campylobacter jejuni C,failure
38,29953999,Clostridium perfringens A C.;Clostridium perfringens C C.;Chlamydophila psittaci C.;Listeria monocytogenes L.;H7N7 subtype H.;H3N2 subtype H.;West Nile virus  WNV;Clostridium perfringens C.;Western equine encephalomyelitis virus WEEV;Salmonella typhimurium DT104 S.;Influenza C virus IC,depression
39,29953999,Clostridium perfringens C,anxiety
40,29953999,Clostridium perfringens A C.;Clostridium perfringens C C.;Chlamydophila psittaci C.;Listeria monocytogenes L.;H7N7 subtype H.;H3N2 subtype H.;West Nile virus  WNV;Clostridium perfringens C.;Western equine encephalomyelitis virus WEEV;Salmonella typhimurium DT104 S.;Influenza C virus IC,depression
41,29953999,Clostridium perfringens A C.;Clostridium perfringens C C.;Chlamydophila psittaci C.;Listeria monocytogenes L.;H7N7 subtype H.;H3N2 subtype H.;West Nile virus  WNV;Clostridium perfringens C.;Western equine encephalomyelitis virus WEEV;Salmonella typhimurium DT104 S.;Influenza C virus IC,depression
42,29953999,Clostridium perfringens A C.;Clostridium perfringens C C.;Chlamydophila psittaci C.;Listeria monocytogenes L.;H7N7 subtype H.;H3N2 subtype H.;West Nile virus  WNV;Clostridium perfringens C.;Western equine encephalomyelitis virus WEEV;Salmonella typhimurium DT104 S.;Influenza C virus IC,depression
43,29953998,Clostridium botulinum E C.;Clostridium botulinum C,urinary
44,29953998,Clostridium botulinum E C.;Clostridium botulinum C,retention
45,29953992,Francisella tularensis F.;Variola virus VV;Burkholderia pseudomallei B.;Bacillus anthracis B,lesions
46,29953992,West Nile virus  WNV;Listeria monocytogenes L,status
47,29953989,Rickettsia rickettsii R,White
48,29953987,Vibrio cholerae O1 V.;Dengue virus DENV;Vibrio cholerae V.;Dengue virus 1 DENV;Vibrio cholerae O139 V.;Dengue virus 3 DENV;Salmonella enterica S.;Clostridium perfringens C.;Staphylococcus aureus S.;Dengue virus 2 DENV;Yersinia pestis Y.;Dengue virus  DEN,shock
49,29953986,Coxiella burnetii C,hypoxemia
50,29953986,Coxiella burnetii C,Hypoxemia
51,29953986,Coxiella burnetii C,hypoxemia
52,29953986,Coxiella burnetii C,hypoxemia
53,29953984,Clostridium botulinum E C.;Clostridium botulinum C,retention
54,29953984,Salmonella enterica subsp. enterica serovar Enteritidis S.;Clostridium perfringens B C.;Burkholderia pseudomallei B.;Clostridium perfringens D C.;Clostridium perfringens C.;Staphylococcus aureus S.;Salmonella enterica subsp. Enterica S.;Salmonella enterica subsp. enterica S.;Bacillus anthracis B.;Guanarito virus G,edema
55,29953984,Listeria monocytogenes L,balance
56,29953983,Vibrio cholerae O1 V.;Dengue virus DENV;Vibrio cholerae V.;Dengue virus 1 DENV;Vibrio cholerae O139 V.;Dengue virus 3 DENV;Salmonella enterica S.;Clostridium perfringens C.;Staphylococcus aureus S.;Dengue virus 2 DENV;Yersinia pestis Y.;Dengue virus  DEN,shock
57,29953982,Francisella tularensis F.;Variola virus VV;Burkholderia pseudomallei B.;Bacillus anthracis B,Lesions
58,29953982,Francisella tularensis F.;Variola virus VV;Burkholderia pseudomallei B.;Bacillus anthracis B,lesions
59,29953981,West Nile virus  WNV;Western equine encephalomyelitis virus WEEV;Japanese encephalitis virus JEV;Marburgvirus M,tremor
60,29953981,West Nile virus  WNV;Western equine encephalomyelitis virus WEEV;Japanese encephalitis virus JEV;Marburgvirus M,tremor
61,29953981,West Nile virus  WNV;Western equine encephalomyelitis virus WEEV;Japanese encephalitis virus JEV;Marburgvirus M,tremor
62,29953981,West Nile virus  WNV;Western equine encephalomyelitis virus WEEV;Japanese encephalitis virus JEV;Marburgvirus M,tremor
63,29953981,Listeria monocytogenes L,balance
64,29953978,Burkholderia mallei B,tract
65,29953978,Burkholderia mallei B,tract
66,29953978,Burkholderia mallei B,tract
67,29953978,Burkholderia mallei B,tract
68,29953978,Listeria monocytogenes L,pharyngeal
69,29953978,Burkholderia mallei B,tract
70,29953978,Burkholderia mallei B,tract
71,29953978,Listeria monocytogenes L,pharyngeal
72,29953978,Burkholderia mallei B,tract
73,29953970,Clostridium botulinum C,weak
74,29953970,Clostridium botulinum C,response
75,29953963,Clostridium botulinum E C.;Clostridium botulinum C,retention
76,29953963,Clostridium botulinum C.;Rickettsia prowazekii R,symptoms
77,29953960,Burkholderia pseudomallei B,progressive
78,29953960,Burkholderia pseudomallei B,inflammation
79,29953958,Brucella abortus B.;Chlamydophila psittaci C.;H4N6 subtype H.;Brucella melitensis B.;Brucella suis B.;Burkholderia mallei B.;Francisella tularensis F.;West Nile virus  WNV;Brucella sp. B.;Coxiella burnetii C.;Mycobacterium tuberculosis M,weight
80,29953958,Brucella abortus B.;Chlamydophila psittaci C.;H4N6 subtype H.;Brucella melitensis B.;Brucella suis B.;Burkholderia mallei B.;Francisella tularensis F.;West Nile virus  WNV;Brucella sp. B.;Coxiella burnetii C.;Mycobacterium tuberculosis M,loss
81,29953958,Shigella S.;Listeria monocytogenes L.;Escherichia coli O157:H7 E.;Escherichia coli E.;Clostridium perfringens C.;Mycobacterium tuberculosis M,anemia
82,29953958,Clostridium perfringens C.;Coxiella burnetii C.;Mycobacterium tuberculosis M,heart
83,29953958,Clostridium perfringens C.;Coxiella burnetii C.;Mycobacterium tuberculosis M,failure
84,29953955,Staphylococcus aureus S,tachycardia
85,29953955,Staphylococcus aureus S,tachycardias
86,29953955,Staphylococcus aureus S,tachycardias
87,29953955,Staphylococcus aureus S,tachycardia
88,29953955,Staphylococcus aureus S,tachycardia
89,29953955,Staphylococcus aureus S,tachycardia
90,29953954,Coxiella burnetii RSA 493 C,syndrome
91,29953953,Variola major virus VM,hydrocephalus
92,29953952,West Nile virus  WNV;Listeria monocytogenes L,status
93,29953952,West Nile virus  WNV;Listeria monocytogenes L,status
94,29953952,West Nile virus  WNV;Listeria monocytogenes L,status
95,29953952,West Nile virus  WNV;Listeria monocytogenes L,status
96,29953949,Vibrio cholerae O1 biovar El tor V,hypothermia
97,29953949,Vibrio cholerae O1 biovar El tor V,Hypothermia
98,29953949,Vibrio cholerae O1 biovar El tor V,hypothermia
99,29953949,Vibrio cholerae O1 biovar El tor V,hypothermia
100,29953949,Vibrio cholerae O1 biovar El tor V,hypothermia
101,29953948,Vibrio cholerae O1 V.;Dengue virus DENV;Vibrio cholerae V.;Dengue virus 1 DENV;Vibrio cholerae O139 V.;Dengue virus 3 DENV;Salmonella enterica S.;Clostridium perfringens C.;Staphylococcus aureus S.;Dengue virus 2 DENV;Yersinia pestis Y.;Dengue virus  DEN,shock
102,29953948,Mycobacterium tuberculosis M,memory
103,29953948,Mycobacterium tuberculosis M,impairment
104,29953948,Mycobacterium tuberculosis M,memory
105,29953948,Mycobacterium tuberculosis M,impairment
106,29953948,Mycobacterium tuberculosis M,memory
107,29953948,Mycobacterium tuberculosis M,impairment
108,29953945,Clostridium botulinum C,change
109,29953940,Clostridium botulinum E C.;Clostridium botulinum C.;Clostridium botulinum A C.;Bacillus anthracis B,dysphagia
110,29953936,Clostridium botulinum C,fluctuations
111,29953936,Listeria monocytogenes L,withdrawal
112,29953934,Clostridium perfringens A C.;Clostridium perfringens C C.;Chlamydophila psittaci C.;Listeria monocytogenes L.;H7N7 subtype H.;H3N2 subtype H.;West Nile virus  WNV;Clostridium perfringens C.;Western equine encephalomyelitis virus WEEV;Salmonella typhimurium DT104 S.;Influenza C virus IC,depression
113,29953934,Clostridium perfringens A C.;Clostridium perfringens C C.;Chlamydophila psittaci C.;Listeria monocytogenes L.;H7N7 subtype H.;H3N2 subtype H.;West Nile virus  WNV;Clostridium perfringens C.;Western equine encephalomyelitis virus WEEV;Salmonella typhimurium DT104 S.;Influenza C virus IC,depression
114,29953934,Clostridium perfringens A C.;Clostridium perfringens C C.;Chlamydophila psittaci C.;Listeria monocytogenes L.;H7N7 subtype H.;H3N2 subtype H.;West Nile virus  WNV;Clostridium perfringens C.;Western equine encephalomyelitis virus WEEV;Salmonella typhimurium DT104 S.;Influenza C virus IC,depression
115,29953934,Clostridium perfringens A C.;Clostridium perfringens C C.;Chlamydophila psittaci C.;Listeria monocytogenes L.;H7N7 subtype H.;H3N2 subtype H.;West Nile virus  WNV;Clostridium perfringens C.;Western equine encephalomyelitis virus WEEV;Salmonella typhimurium DT104 S.;Influenza C virus IC,depression
116,29953931,Clostridium perfringens C.;Coxiella burnetii C.;Mycobacterium tuberculosis M,heart
117,29953931,Clostridium perfringens C.;Coxiella burnetii C.;Mycobacterium tuberculosis M,failure
118,29953930,West Nile virus  WNV;Listeria monocytogenes L,status
119,29953927,Brucella abortus B.;Chlamydophila psittaci C.;H4N6 subtype H.;Brucella melitensis B.;Brucella suis B.;Burkholderia mallei B.;Francisella tularensis F.;West Nile virus  WNV;Brucella sp. B.;Coxiella burnetii C.;Mycobacterium tuberculosis M,weight
120,29953927,Brucella abortus B.;Chlamydophila psittaci C.;H4N6 subtype H.;Brucella melitensis B.;Brucella suis B.;Burkholderia mallei B.;Francisella tularensis F.;West Nile virus  WNV;Brucella sp. B.;Coxiella burnetii C.;Mycobacterium tuberculosis M,weight
121,29953925,Clostridium botulinum C.;Rickettsia prowazekii R,symptom
122,29953925,Clostridium botulinum C,fluctuations
123,29953925,Clostridium botulinum C.;Rickettsia prowazekii R,symptoms
124,29953923,Burkholderia mallei B,tract
125,29953923,Variola major virus VM,lymphocyte
126,29953922,Variola major virus VMV;Clostridium botulinum C.;Mycobacterium tuberculosis M,membranes
127,29953922,Coxiella burnetii RSA 493 C,syndrome
128,29953916,Vibrio cholerae non-O1 V.;Brucella abortus B.;Listeria monocytogenes ATCC 19115 L.;Rickettsia prowazekii R.;Salmonella bongori S.;Dengue virus 1 DENV;La Crosse virus  LCV;Shigella flexneri S.;Salmonella enterica subsp. enterica serovar Typhi S.;Staphylococcus aureus S.;Influenza C virus ICV;Salmonella enterica subsp. enterica S.;Staphylococcus aureus subsp. Aureus S.;Variola minor virus VMV;Salmonella enterica subsp. enterica serovar Typhimurium S.;Vibrio cholerae O1 V.;Chlamydophila psittaci C.;Crimean-Congo hemorrhagic fever virus CCHFV;Dengue virus DENV;Lymphocytic choriomeningitis virus LCV;Burkholderia mallei B.;Salmonella enterica subsp. enterica serovar Enteritidis S.;Variola major virus VMV;Vibrio cholerae O139 V.;Salmonella enterica S.;Marburgvirus MV;Yersinia enterocolitica Y.;Dengue virus 2 DENV;Salmonella enterica subsp. Enterica S.;Salmonella typhimurium DT104 S.;Japanese encephalitis virus JEV;Coxiella burnetii C.;Rickettsia rickettsii R.;Shigella sonnei S.;Bacillus anthracis B.;Guanarito virus GV;Mycobacterium tuberculosis M.;Shigella dysenteriae S.;SARS coronavirus SEVERE ACUTE RESPIRATORY SYNDROME;California encephalitis virus  CEV;Salmonella S.;Listeria monocytogenes L.;Escherichia coli O157:H7 E.;Escherichia coli O157:H7 EDL933 E.;Kyasanur forest disease virus KFDV;Listeria monocytogenes str. 1/2a F6854 L.;Shigella S.;Staphylococcus aureus subsp. aureus S.;H7N7 subtype H.;Brucella canis B.;Dengue virus 3 DENV;Clostridium perfringens C.;Brucella sp. B.;Campylobacter jejuni C.;Kunjin virus KV;Rickettsia conorii R.;Yersinia pestis Y.;Dengue virus 4 DENV;Lake Victoria marburgvirus LVMV;Rickettsia typhi R.;Tahyna virus TV;H1N1 subtype H.;Variola virus VV;Brucella melitensis B.;Brucella suis B.;Francisella tularensis F.;Coxiella burnetii RSA 493 C.;Burkholderia pseudomallei B.;H3N8 subtype H.;West Nile virus  WNV;West Nile virus WNV;Western equine encephalomyelitis virus WEEV;Alkhurma hemorrhagic fever virus AHFV;H9N2 subtype H.;Francisella tularensis subsp. holarctica F.;Dengue virus  DEN,fever
129,29953916,Coxiella burnetii RSA 493 C,syndromes
130,29953916,Vibrio cholerae non-O1 V.;Brucella abortus B.;Listeria monocytogenes ATCC 19115 L.;Rickettsia prowazekii R.;Salmonella bongori S.;Dengue virus 1 DENV;La Crosse virus  LCV;Shigella flexneri S.;Salmonella enterica subsp. enterica serovar Typhi S.;Staphylococcus aureus S.;Influenza C virus ICV;Salmonella enterica subsp. enterica S.;Staphylococcus aureus subsp. Aureus S.;Variola minor virus VMV;Salmonella enterica subsp. enterica serovar Typhimurium S.;Vibrio cholerae O1 V.;Chlamydophila psittaci C.;Crimean-Congo hemorrhagic fever virus CCHFV;Dengue virus DENV;Lymphocytic choriomeningitis virus LCV;Burkholderia mallei B.;Salmonella enterica subsp. enterica serovar Enteritidis S.;Variola major virus VMV;Vibrio cholerae O139 V.;Salmonella enterica S.;Marburgvirus MV;Yersinia enterocolitica Y.;Dengue virus 2 DENV;Salmonella enterica subsp. Enterica S.;Salmonella typhimurium DT104 S.;Japanese encephalitis virus JEV;Coxiella burnetii C.;Rickettsia rickettsii R.;Shigella sonnei S.;Bacillus anthracis B.;Guanarito virus GV;Mycobacterium tuberculosis M.;Shigella dysenteriae S.;SARS coronavirus SEVERE ACUTE RESPIRATORY SYNDROME;California encephalitis virus  CEV;Salmonella S.;Listeria monocytogenes L.;Escherichia coli O157:H7 E.;Escherichia coli O157:H7 EDL933 E.;Kyasanur forest disease virus KFDV;Listeria monocytogenes str. 1/2a F6854 L.;Shigella S.;Staphylococcus aureus subsp. aureus S.;H7N7 subtype H.;Brucella canis B.;Dengue virus 3 DENV;Clostridium perfringens C.;Brucella sp. B.;Campylobacter jejuni C.;Kunjin virus KV;Rickettsia conorii R.;Yersinia pestis Y.;Dengue virus 4 DENV;Lake Victoria marburgvirus LVMV;Rickettsia typhi R.;Tahyna virus TV;H1N1 subtype H.;Variola virus VV;Brucella melitensis B.;Brucella suis B.;Francisella tularensis F.;Coxiella burnetii RSA 493 C.;Burkholderia pseudomallei B.;H3N8 subtype H.;West Nile virus  WNV;West Nile virus WNV;Western equine encephalomyelitis virus WEEV;Alkhurma hemorrhagic fever virus AHFV;H9N2 subtype H.;Francisella tularensis subsp. holarctica F.;Dengue virus  DEN,fever
131,29953916,Francisella tularensis F.;Variola virus VV;Burkholderia pseudomallei B.;Bacillus anthracis B,lesions
132,29953916,Dengue virus 4 DENV;Dengue virus DENV;Dengue virus 1 DENV;Dengue virus 3 DENV;Clostridium perfringens C.;Alkhurma hemorrhagic fever virus AHFV;Dengue virus 2 DENV;Guanarito virus G,leukopenia
133,29953916,Staphylococcus aureus S.;Clostridium perfringens C.;Clostridium perfringens C C.;Burkholderia pseudomallei B,necrosis
134,29953913,Listeria monocytogenes L,balance
135,29953913,Listeria monocytogenes L,balance
136,29953913,Listeria monocytogenes L,balance
137,29953911,Francisella tularensis F.;Variola virus VV;Burkholderia pseudomallei B.;Bacillus anthracis B,lesions
138,29953911,Francisella tularensis F.;Variola virus VV;Burkholderia pseudomallei B.;Bacillus anthracis B,lesion
139,29953911,Francisella tularensis F.;Variola virus VV;Burkholderia pseudomallei B.;Bacillus anthracis B,lesions
140,29953911,Francisella tularensis F.;Variola virus VV;Burkholderia pseudomallei B.;Bacillus anthracis B,lesions
141,29953908,Clostridium botulinum A C,speech
142,29953908,Clostridium botulinum C C.;Listeria monocytogenes L,tones
143,29953908,Clostridium botulinum C C.;Listeria monocytogenes L,tones
144,29953908,Mycobacterium tuberculosis M,sound
145,29953908,Mycobacterium tuberculosis M,sound
146,29953906,Francisella tularensis F.;Variola virus VV;Burkholderia pseudomallei B.;Bacillus anthracis B,lesions
147,29953906,Francisella tularensis F.;Variola virus VV;Burkholderia pseudomallei B.;Bacillus anthracis B,lesions
148,29953906,Mycobacterium tuberculosis M,sounds
149,29953906,Mycobacterium tuberculosis M,sounds
150,29953904,Clostridium botulinum E C.;Clostridium botulinum C,retention
151,29953903,Vibrio cholerae non-O1 V.;Brucella abortus B.;Listeria monocytogenes ATCC 19115 L.;Rickettsia prowazekii R.;Salmonella bongori S.;Dengue virus 1 DENV;La Crosse virus  LCV;Shigella flexneri S.;Salmonella enterica subsp. enterica serovar Typhi S.;Staphylococcus aureus S.;Influenza C virus ICV;Salmonella enterica subsp. enterica S.;Staphylococcus aureus subsp. Aureus S.;Variola minor virus VMV;Salmonella enterica subsp. enterica serovar Typhimurium S.;Vibrio cholerae O1 V.;Chlamydophila psittaci C.;Crimean-Congo hemorrhagic fever virus CCHFV;Dengue virus DENV;Lymphocytic choriomeningitis virus LCV;Burkholderia mallei B.;Salmonella enterica subsp. enterica serovar Enteritidis S.;Variola major virus VMV;Vibrio cholerae O139 V.;Salmonella enterica S.;Marburgvirus MV;Yersinia enterocolitica Y.;Dengue virus 2 DENV;Salmonella enterica subsp. Enterica S.;Salmonella typhimurium DT104 S.;Japanese encephalitis virus JEV;Coxiella burnetii C.;Rickettsia rickettsii R.;Shigella sonnei S.;Bacillus anthracis B.;Guanarito virus GV;Mycobacterium tuberculosis M.;Shigella dysenteriae S.;SARS coronavirus SEVERE ACUTE RESPIRATORY SYNDROME;California encephalitis virus  CEV;Salmonella S.;Listeria monocytogenes L.;Escherichia coli O157:H7 E.;Escherichia coli O157:H7 EDL933 E.;Kyasanur forest disease virus KFDV;Listeria monocytogenes str. 1/2a F6854 L.;Shigella S.;Staphylococcus aureus subsp. aureus S.;H7N7 subtype H.;Brucella canis B.;Dengue virus 3 DENV;Clostridium perfringens C.;Brucella sp. B.;Campylobacter jejuni C.;Kunjin virus KV;Rickettsia conorii R.;Yersinia pestis Y.;Dengue virus 4 DENV;Lake Victoria marburgvirus LVMV;Rickettsia typhi R.;Tahyna virus TV;H1N1 subtype H.;Variola virus VV;Brucella melitensis B.;Brucella suis B.;Francisella tularensis F.;Coxiella burnetii RSA 493 C.;Burkholderia pseudomallei B.;H3N8 subtype H.;West Nile virus  WNV;West Nile virus WNV;Western equine encephalomyelitis virus WEEV;Alkhurma hemorrhagic fever virus AHFV;H9N2 subtype H.;Francisella tularensis subsp. holarctica F.;Dengue virus  DEN,fever
152,29953903,West Nile virus  WN,body
153,29953903,Brucella abortus B.;Chlamydophila psittaci C.;H4N6 subtype H.;Brucella melitensis B.;Brucella suis B.;Burkholderia mallei B.;Francisella tularensis F.;West Nile virus  WNV;Brucella sp. B.;Coxiella burnetii C.;Mycobacterium tuberculosis M,weight
154,29953903,Vibrio cholerae non-O1 V.;Brucella abortus B.;Listeria monocytogenes ATCC 19115 L.;Rickettsia prowazekii R.;Salmonella bongori S.;Dengue virus 1 DENV;La Crosse virus  LCV;Shigella flexneri S.;Salmonella enterica subsp. enterica serovar Typhi S.;Staphylococcus aureus S.;Influenza C virus ICV;Salmonella enterica subsp. enterica S.;Staphylococcus aureus subsp. Aureus S.;Variola minor virus VMV;Salmonella enterica subsp. enterica serovar Typhimurium S.;Vibrio cholerae O1 V.;Chlamydophila psittaci C.;Crimean-Congo hemorrhagic fever virus CCHFV;Dengue virus DENV;Lymphocytic choriomeningitis virus LCV;Burkholderia mallei B.;Salmonella enterica subsp. enterica serovar Enteritidis S.;Variola major virus VMV;Vibrio cholerae O139 V.;Salmonella enterica S.;Marburgvirus MV;Yersinia enterocolitica Y.;Dengue virus 2 DENV;Salmonella enterica subsp. Enterica S.;Salmonella typhimurium DT104 S.;Japanese encephalitis virus JEV;Coxiella burnetii C.;Rickettsia rickettsii R.;Shigella sonnei S.;Bacillus anthracis B.;Guanarito virus GV;Mycobacterium tuberculosis M.;Shigella dysenteriae S.;SARS coronavirus SEVERE ACUTE RESPIRATORY SYNDROME;California encephalitis virus  CEV;Salmonella S.;Listeria monocytogenes L.;Escherichia coli O157:H7 E.;Escherichia coli O157:H7 EDL933 E.;Kyasanur forest disease virus KFDV;Listeria monocytogenes str. 1/2a F6854 L.;Shigella S.;Staphylococcus aureus subsp. aureus S.;H7N7 subtype H.;Brucella canis B.;Dengue virus 3 DENV;Clostridium perfringens C.;Brucella sp. B.;Campylobacter jejuni C.;Kunjin virus KV;Rickettsia conorii R.;Yersinia pestis Y.;Dengue virus 4 DENV;Lake Victoria marburgvirus LVMV;Rickettsia typhi R.;Tahyna virus TV;H1N1 subtype H.;Variola virus VV;Brucella melitensis B.;Brucella suis B.;Francisella tularensis F.;Coxiella burnetii RSA 493 C.;Burkholderia pseudomallei B.;H3N8 subtype H.;West Nile virus  WNV;West Nile virus WNV;Western equine encephalomyelitis virus WEEV;Alkhurma hemorrhagic fever virus AHFV;H9N2 subtype H.;Francisella tularensis subsp. holarctica F.;Dengue virus  DEN,fever
155,29953902,Clostridium botulinum C.;Rickettsia prowazekii R,symptoms
156,29953901,Listeria monocytogenes L,balance
157,29953898,Brucella abortus B.;Chlamydophila psittaci C.;H4N6 subtype H.;Brucella melitensis B.;Brucella suis B.;Burkholderia mallei B.;Francisella tularensis F.;West Nile virus  WNV;Brucella sp. B.;Coxiella burnetii C.;Mycobacterium tuberculosis M,weight
158,29953896,Vibrio cholerae non-O1 V.;Brucella abortus B.;Listeria monocytogenes ATCC 19115 L.;Rickettsia prowazekii R.;Salmonella bongori S.;Dengue virus 1 DENV;La Crosse virus  LCV;Shigella flexneri S.;Salmonella enterica subsp. enterica serovar Typhi S.;Staphylococcus aureus S.;Influenza C virus ICV;Salmonella enterica subsp. enterica S.;Staphylococcus aureus subsp. Aureus S.;Variola minor virus VMV;Salmonella enterica subsp. enterica serovar Typhimurium S.;Vibrio cholerae O1 V.;Chlamydophila psittaci C.;Crimean-Congo hemorrhagic fever virus CCHFV;Dengue virus DENV;Lymphocytic choriomeningitis virus LCV;Burkholderia mallei B.;Salmonella enterica subsp. enterica serovar Enteritidis S.;Variola major virus VMV;Vibrio cholerae O139 V.;Salmonella enterica S.;Marburgvirus MV;Yersinia enterocolitica Y.;Dengue virus 2 DENV;Salmonella enterica subsp. Enterica S.;Salmonella typhimurium DT104 S.;Japanese encephalitis virus JEV;Coxiella burnetii C.;Rickettsia rickettsii R.;Shigella sonnei S.;Bacillus anthracis B.;Guanarito virus GV;Mycobacterium tuberculosis M.;Shigella dysenteriae S.;SARS coronavirus SEVERE ACUTE RESPIRATORY SYNDROME;California encephalitis virus  CEV;Salmonella S.;Listeria monocytogenes L.;Escherichia coli O157:H7 E.;Escherichia coli O157:H7 EDL933 E.;Kyasanur forest disease virus KFDV;Listeria monocytogenes str. 1/2a F6854 L.;Shigella S.;Staphylococcus aureus subsp. aureus S.;H7N7 subtype H.;Brucella canis B.;Dengue virus 3 DENV;Clostridium perfringens C.;Brucella sp. B.;Campylobacter jejuni C.;Kunjin virus KV;Rickettsia conorii R.;Yersinia pestis Y.;Dengue virus 4 DENV;Lake Victoria marburgvirus LVMV;Rickettsia typhi R.;Tahyna virus TV;H1N1 subtype H.;Variola virus VV;Brucella melitensis B.;Brucella suis B.;Francisella tularensis F.;Coxiella burnetii RSA 493 C.;Burkholderia pseudomallei B.;H3N8 subtype H.;West Nile virus  WNV;West Nile virus WNV;Western equine encephalomyelitis virus WEEV;Alkhurma hemorrhagic fever virus AHFV;H9N2 subtype H.;Francisella tularensis subsp. holarctica F.;Dengue virus  DEN,fever
159,29953896,Clostridium botulinum C.;Rickettsia prowazekii R,symptoms
160,29953893,Brucella abortus B.;Chlamydophila psittaci C.;H4N6 subtype H.;Brucella melitensis B.;Brucella suis B.;Burkholderia mallei B.;Francisella tularensis F.;West Nile virus  WNV;Brucella sp. B.;Coxiella burnetii C.;Mycobacterium tuberculosis M,weight
161,29953885,Coxiella burnetii RSA 493 C,syndromes
162,29953885,Coxiella burnetii RSA 493 C,syndromes
163,29953883,Clostridium botulinum C.;Rickettsia prowazekii R,symptom
