superkingdom,kingdom,phylum,order,family,genus,species,subspecies,symptoms/diseases,antibiotics,comments
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium durum,NA,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses","Glycopeptides, β‎-lactam, erythromycin, rifampicin","More than 40 Corynebacterium spp. have been isolated from clinical specimens. For many of them, clinical significance and empirical therapy are poorly defined. Many isolates are susceptible to β‎-lactams. Multiresistant, vancomycin-susceptible isolates of CDC coryneform group G-2, C. jeikeium and C. urealyticumhave been reported. Nosocomial outbreaks have been reported. Corynebacteriumspp. may be specimen or laboratory contaminants. CDC coryneform groups 1, E, F-1, and G-2 await designation of scientific names"
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium falsenii,NA,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses","Glycopeptides, β‎-lactam, erythromycin, rifampicin","More than 40 Corynebacterium spp. have been isolated from clinical specimens. For many of them, clinical significance and empirical therapy are poorly defined. Many isolates are susceptible to β‎-lactams. Multiresistant, vancomycin-susceptible isolates of CDC coryneform group G-2, C. jeikeium and C. urealyticumhave been reported. Nosocomial outbreaks have been reported. Corynebacteriumspp. may be specimen or laboratory contaminants. CDC coryneform groups 1, E, F-1, and G-2 await designation of scientific names"
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium freneyi,NA,"Septicaemia, peritonitis, UTI, eye infection, wound infection, endocarditis, osteomyelitis, septic arthritis, meningitis, abscesses","Glycopeptides, β‎-lactam, erythromycin, rifampicin","More than 40 Corynebacterium spp. have been isolated from clinical specimens. For many of them, clinical significance and empirical therapy are poorly defined. Many isolates are susceptible to β‎-lactams. Multiresistant, vancomycin-susceptible isolates of CDC coryneform group G-2, C. jeikeium and C. urealyticumhave been reported. Nosocomial outbreaks have been reported. Corynebacteriumspp. may be specimen or laboratory contaminants. CDC coryneform groups 1, E, F-1, and G-2 await designation of scientific names"
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glucuronolyticum,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium imitans,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium jeikeium,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kutscheri,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium lipophiloflavum,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium macginleyi,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium minutissimum,NA,"Erythrasma, bacteraemia, endocarditis",,Role as an agent of erythrasma is poorly defined
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium mucifaciens,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium mycetoides,NA,"Tropical ulcer, septicaemia",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pilosum,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium propinquum,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudodiphtheriticum,NA,"UTI, endocarditis, lymphadenopathy, necrotizing tracheitis",Penicillin,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,NA,"Lymphadenitis, pulmonary infection","Penicillin, erythromycin",Associated with sheep contact. May require drainage or excision
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium renale,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium resistens,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium riegelii,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium singulare,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp. 3010,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium striatum,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sundsvallense,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium thomssenii,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium tuberculostearicum,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium tuscaniense,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium ulcerans,NA,"Diphtheria-like disease, pharyngitis","Penicillin, erythromycin",Toxigenic infection requires treatment with antitoxin
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium urealyticum,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium vitaeruminis,NA,Associated with aortic aneurysm,"Penicillin, erythromycin",Role as pathogen uncertain
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium xerosis,NA,"Diphtheria, cutaneous infection",,
Bacteria,NA,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Turicella,Turicella otitidis,NA,"Otitis, cervical abscess","Glycopeptides, β‎-lactams",
Bacteria,NA,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,Dietzia maris,NA,"Prosthetic hip infection, bacteraemia","Vancomycin, teicoplanin, rifampicin, amoxicillin, gentamicin, clindamycin, co-trimoxazole",Papillomatosis has been associated with ‘Dietzia strain X’
Bacteria,NA,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia aichiensis,NA,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis","Co-trimoxazole, ceftriaxone, imipenem, fluoroquinolones",
Bacteria,NA,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia araii,NA,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis","Co-trimoxazole, ceftriaxone, imipenem, fluoroquinolones",
Bacteria,NA,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia bronchialis,NA,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis","Co-trimoxazole, ceftriaxone, imipenem, fluoroquinolones",
Bacteria,NA,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia effusa,NA,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis","Co-trimoxazole, ceftriaxone, imipenem, fluoroquinolones",
Bacteria,NA,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia otitidis,NA,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis","Co-trimoxazole, ceftriaxone, imipenem, fluoroquinolones",
Bacteria,NA,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia polyisoprenivorans,NA,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis","Co-trimoxazole, ceftriaxone, imipenem, fluoroquinolones",
Bacteria,NA,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia rubripertincta,NA,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis","Co-trimoxazole, ceftriaxone, imipenem, fluoroquinolones",
Bacteria,NA,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia sputi,NA,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis","Co-trimoxazole, ceftriaxone, imipenem, fluoroquinolones",
Bacteria,NA,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia terrae,NA,"Pulmonary infection, cholecystitis, breast abscess, sternal wound sepsis, brain abscess, bacteraemia, otitis","Co-trimoxazole, ceftriaxone, imipenem, fluoroquinolones",
Bacteria,NA,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,NA,,"Isoniazid, rifampicin, ethambutol, pyrazinamide, streptomycin, azithromycin, clarithromycin, ciprofloxacin, dapsone, clofazimine, imipenem, co-trimoxazole, amikacin","Many Mycobacterium spp. have been associated with infection. M. tuberculosis, M. africanum, and M. bovis are the agents of tuberculosis. M. scrofulaceum causes cervical adenitis. The agent of Buruli ulcer is M. ulcerans. M. marinum causes fish-tank granuloma. M. lepraecauses leprosy. M. malmoense, M. szulgai, M. shimoidei, M. kansasii, and M. xenopi cause pulmonary infection. M. intracellulareand M. avium cause systemic infection mainly in immunocompromised patients. The rapid growers, M. chelonae,M. abscessus, and M. fortuitum cause local postinoculation injury and systemic infection"
