,abstract_text
29954031,"  Minimally invasive Ivor Lewis esophagectomy (MIILE) is increasingly being used in the treatment of middle or lower esophageal cancer. Hand-sewn purse-string stapled anastomosis is a classic approach in open esophagectomy. However, this procedure is technically difficult under thoracoscopy. The hardest part is delivering the anvil into the esophageal stump. Herein, we report an approach to performing this step under thoracoscopy.  A total of 257 consecutive patients who underwent MIILE between April 2013 and July 2017 were analyzed retrospectively. The operator hand sewed the purse string using silk thread under thoracoscopy, and the 25-mm circular stapler was passed through the anterior axillary line at the fourth intercostal space to finish the side-to-end gastroesophageal anastomosis. Patient demographics, intraoperative data, postoperative complications were evaluated.  The mean operative time, thoracoscopy time, and anvil fixation time was 307.0 ± 34.3, 155.4 ± 21.5, and 7.1 ± 1.6 minute, respectively. The anastomotic leak and anastomotic stricture occurred in 6.6% (17 of 257) and 3.9% (10 of 257) of patients, respectively. There was no intraoperative death; one case was death of acute respiratory distress syndrome (ARDS) for conduit gastric leakage on the 21st postoperative day.  Using the hand-sewn purse-string stapled anastomotic technique for MIILE is feasible and relatively safe in patients with middle or lower esophageal cancer."
29954030,"  Transthoracic device closure (TTDC) and surgical repair with right infra-axillary thoracotomy (SRRIAT) or with right submammary thoracotomy (SRSMT) are all the primary alternative treatments for restrictive perimembranous ventricular septal defect (pmVSD). However, few studies have compared them in terms of effectiveness and complications.  Patients with restrictive pmVSD undergoing TTDC, or SRRIAT, or SRSMT from March 2016 to February 2017 were retrospectively reviewed in our cardiac center. There were no differences in age (1.3 ± 1.2 vs 1.1 ± 1.1 vs 1.2 ± 1.1 years), gender (35/37 vs 30/33 vs 29/29), body weight (8.3 ± 2.6 vs 8.2 ± 2.4 vs 8.1 ± 2.5 kg), and size of VSD (4.2 ± 1.1 vs 5.2 ± 1.3 vs 5.1 ± 1.2 mm) distribution between the three groups.  The procedure success rates were similar in the three groups. The TTDC group had the shortest operative time, postoperative mechanical ventilation time, duration of intensive care, postoperative length of hospital stay, medical cost, and length of the incision. There were no significant differences in terms of operative time, aortic cross-clamping time, duration of cardiopulmonary bypass (CPB), blood transfusion volume, mechanical ventilation time, duration of intensive care, duration of hospital stays, pleural fluid drainage, or cost between the SRSMT and SRRIAT groups. No significant differences were noted in terms of major adverse events.  TTDC, SRRIAT, and SRSMT all showed excellent outcomes and cosmetic appearances for selected VSD patients. TTDC had advantages over SRRIAT and SRSMT in terms of short operation duration and smaller incision size and shorter durations of intensive care and hospital stays."
29954029," Filming surgeries for teaching purposes, publications, and patient records has become increasingly popular as the systems for digital recording have evolved, becoming high-quality systems, both smaller and lighter. Digital recording allows long-term storage, retrieval, and database organization. In addition, sharing digital contents has also become easier since video sharing sites and social networks make it possible to upload these contents onto the Internet. We describe a simple and economical system for surgeons to record surgeries in high definition under sterile conditions without any interference with the surgeon's line of vision."
29954028," Longitudinal changes in compensatory and anticipatory postural adjustments around the knee were investigated from rupture of ACL until return to play after reconstruction. Twelve ACL-injured participants (ACL-P) were asked to respond to unpredictable and predictable perturbations before (T1), 2 (T2) and 6 months after (T3) reconstruction. Twelve healthy participants served as controls. Compensatory and anticipatory latencies of vastus lateralis (VL) and medialis (VM) were measured with respect to the arrival of perturbations. ACL-P showed delayed compensatory latencies compared to controls at T1 for VL (101±32 ms vs 63±7 ms) and VM (117±36 ms vs 75±17 ms) and at T2 for VL (94±20 ms vs 63±7 ms) and VM (94±27 ms vs 71±11 ms). ACL-P showed earlier anticipatory latencies than controls for VL at T1 (-69±44 ms vs -12±12 ms) and T2 (-46±17 ms vs -16±12 ms). At T3, ACL-P showed delayed compensatory latencies for VL (91±18 ms vs 56±21 ms) and VM (95±13 ms vs 66±4 ms), whilst anticipatory latencies were restored. Rehabilitation should address delayed compensatory responses."
29954027," Two novel cyclic hexadepsipeptides, fusarihexin A (1: ) and fusarihexin B (2: ), and two known compounds, cyclo-(L-Leu-L-Leu-D-Leu-L-Leu-L-Val) (3: ) and cyclo-(L-Leu-L-Leu-D-Leu-L-Leu-L-Ile) (4: ), were isolated from the marine mangrove endophytic fungus "
29954026, Four new 2-(2-phenylethyl)-4
29954025," The sagittal split osteotomy (SSO) is an indispensable tool in the correction of dentofacial abnormalities. In elective orthognathic surgery, it is important that surgeons inform patients about the risk of complications related to inferior alveolar nerve damage and unfavorable split. The purpose of this article is to describe a novel, hybrid technique to SSO by combining a reciprocating saw and piezoelectric devices with several advantages over traditional ""pure"" methods (osteotomies performed by reciprocating saw or piezoelectric devices only) in terms of precision, rapidity, easier splitting, and decreased complications related to inferior alveolar nerve damage and bad split with reduced overall morbidity. The level of evidence was Level IV, therapeutic study."
29954024," Without well recognizing the vascular territories of the perforator, surgery might damage the pedicle and diminish flap survival. This study described a transillumination method for intraoperative mapping of the subfascial plexus of the perforator in the head and neck reconstruction with an anterolateral thigh (ALT) flap and also compared the perioperative outcomes and complications of the method with those of the conventional two-pedicle ALT flap. Between January 2011 and December 2017, 26 patients who underwent head and neck reconstruction with ALT flaps were evaluated as follows: 13 underwent the transillumination method (case group), and 13 (age- and sex-matched) underwent standard two-pedicle flap procedures (control group). Demographic factors, diagnosis, flap size, recipient site, perioperative data, and postoperative complications were compared between the two groups. There was no significant difference in age, sex, diagnosis, recipient sites, and flap size between the case and control groups. Regarding the perioperative outcomes, the harvesting time was significantly shorter in the case group than in the control group (60 vs. 100 minutes, "
29954023," A decision tree was constructed to determine the incremental cost-effectiveness ratio (ICER) of grafting techniques used to prevent Frey Syndrome. The authors performed a sensitivity analysis to calculate what the probability of preventing Frey Syndrome would have to be and maximum costs associated with using grafting techniques to warrant their use as more ""cost-effective"" choice than using neither. Decision pathways utilized were uses of (1) free fat graft (FFG), (2) acellular dermis, and (3) no grafting. The probability of developing Frey syndrome and costs were extracted from previous studies to construct the decision tree. The primary effectiveness was the ICER of FFG or acellular dermis to prevent Frey syndrome. The initial outcomes included preventing Frey syndrome (effectiveness = 1) or developing Frey syndrome (effectiveness = 0). Compared with not using a graft, the ICER of using FFG and acellular dermis were $10,628 and $50,813, respectively. Frey syndrome was found in 2.6% of patients postoperatively in FFG group, 9.8% of patients in acellular dermis group, and 30.7% of patients who did not have a graft. The ICER shows absolute dominance of FFG with lower cost and high effectiveness over acellular dermis. This economic evaluation strongly supports the use of FFG over acellular dermis as cost-effective approach for prevention of postparotidectomy Frey syndrome."
29954022," The subciliary and skin pinch approaches are the most widely accepted techniques for treating dermatochalasis of the lower eyelid. Direct excision (DE) is an accepted method for treating festoons; however, it is not a popular technique for the treatment of dermatochalasis and pigment of the lower lid. DE of the lower lid offers a safe and excellent aesthetic result for dermatochalasis and pigment of the lower lid, without causing lower lid malposition, which can occur with more traditional methods. In addition to being able to remove significantly more skin without risking lower lid malposition, this procedure allows for removal of the most pigmented and poorly textured skin overlying the nasojugal groove. It is an effective alternative to the conventional subciliary and skin pinch approaches."
29954021," The use of platelet-rich plasma (PRP) has become increasingly commonplace in facial plastic surgery for the treatment of androgenic alopecia (AGA). However, this treatment remains novel with a range of application techniques and outcomes described in the literature. Herein, the authors systematically review the existing literature on the use and efficacy of PRP for AGA. Systematic review of PubMed, Embase, and Cochrane databases was performed. Case reports were excluded. Twenty-four papers met inclusion criteria for this study: 8 randomized control trials and 16 prospective cohort studies. Twenty-one studies used clinical criteria to diagnose AGA, while three used confirmatory biopsies. PRP was injected with or without the use of a numbing agent, and most studies performed multiple injections (three or more separated by several weeks). Twenty-one studies reported positive outcomes by objective criteria (88%), while three suggested that there was no clinical improvement, although in two of these studies patients still reported increased satisfaction. There were no complications reported other than transient edema/erythema and pain/headache associated with the procedure. The existing literature suggests that PRP is a low-risk intervention to treat AGA associated with good patient satisfaction and objective improvements in outcomes. Further research is needed to optimize preparation and delivery methods as well as standardize measurements of clinical outcomes."
29954020," Despite considerable progress concerning pharmaceutical therapeutic options, many COPD patients show a markedly reduced quality of life and increased mortality risk. This workshop aimed to identify COPD-specific factors impeding an improved mode of care for patients with COPD. Such factors are: the generally lower social and educational status of the majority of COPD patients; the stigma of COPD as a self-inflicted disease (""smoker's lung""); the strict sectoral separation within the German health care system. In the second part the workshop tried to identify ways to improve the care of COPD patients. Use of health information technology, improved communication between care givers and patients as well as between the health care sectors, integrating rehabilitation and establishing self-management education are factors within an integrated patient-centered approach. In summary, an integrated management of the individual patient with COPD including multi-professional teams should contribute to optimizing the quality of COPD care."
29954018,"  Stress increases the risk of developing and maintaining alcohol addiction. Mechanism for reacting to, and coping with, stress in persons with alcohol addiction are an important factor enabling them to maintain abstinence in everyday life. Also of Relevance for abstinence, and in particular craving for alcohol, is the severity of the dependence. Numerous studies have focused on the duration of abstinence, but not on the severity of the disease. This study investigates if, in addition to abstinence duration, also the severity of the alcohol addiction influences stress responsiveness and ability to cope with stress. Another objective is to ascertain in which patients such an influence can be found. The results can shed light on the complex bidirectional relationship between alcoholism and stress, but are also potentially useful in treating patients with this disease. In a cross-sectional design, 64 alcohol-dependent patients and 30 healthy controls were examined. The alcoholics sample was divided in two groups according to a duration of abstinence of seven days and, 70 days. Each group was further divided in a subgroup of individuals with mild to moderate alcohol addiction and in a subgroup of patients with severe alcohol addiction (A7-severe and A70-severe). Using the Trierer Social Stress Test (TSST), all participants were subjected to acute stress. Parameters measured were salivary cortisol, skin conductance -response, heart rate, addiction-related variables (addiction severity, duration of alcohol abuse, drinking quantity, craving, liver enzymes, family history of alcoholism, number of therapies, smoking), psychopathological variables (anxiety, depression, live events, personality disorders), acute and long-term stress coping, and level of strain on everyday life. In patients with severe addiction, the reaction to stress is weaker and slightly retarded, but also of a longer duration than that patients with mild and moderate addiction and of healthy controls. This is independent of the length of abstinence (7 days and 70 days). In severely ill patients, strategies for coping with acute stress differed from those of the other groups in that they consisted in stronger flight and avoidance responses, a stronger need for social support, and a more intense mental preoccupation. Increased levels of social tension, lack of social recognition, and isolation indicated chronic stress. Patients with severe alcohol addiction also showed a more pronounced familial predisposition, stronger craving, increased anxiety, a longer history of alcohol abuse, and a higher frequency of incisive life events than patients with mild to moderate alcohol addiction. The results indicate that a more differentiated evaluation of stress responsiveness and stress coping in persons with an alcohol addiction not only length of abstinence, but also severity of disease have to be taken into account. Further research is necessary to adjust treatment accordingly."
29954017," Neuropsychological assessment should be an integral component of clinical psychiatric diagnostics. Yet, the commonly used tests have not been investigated adequately for this population so far. The current study evaluated a clinically approved neuropsychological test battery by analyzing data on 226 mentally ill patients using factor and regression analyses. The extraction of three factors (Speed, Memory, and Executive Functions) proved to be adequate as the tests could be allocated properly. Regression analysis revealed an economical basis assessment consisting of three tests (TAP Alertness, VLMT, and Matrices Test). Based on acceptance, economy, and factorial structure aspects, we recommend the investigated test battery for neuropsychological assessment of psychiatric and psychosomatic patients."
29954016," Carbon monoxide poisoning is a very common intoxication worldwide. Its clinical manifestations vary from symptoms like mild headache and dizziness to more serious issues including death. Less well known are symptoms that occur with a delay of 2-40 days, such as movement disorders, cognitive impairment or affective disorders. In this article, we present a case of carbon monoxide poisoning with a delayed neurological sequela. The following review summarizes the literature on clinical presentation, diagnostic options, pathophysiology and therapy of this disease."
29954013," In the 2015 mass migration from Syria and neighboring countries, Germany received an unprecedented number of 4,76,649 asylum applications. As many of the refugees arrived in Southern Germany via the Austrian border, the city of Munich was faced with the majority of Germany's inflow of war refugees and their complex health issues. Among the refugees were a high number of children. Their main health issues were infectious diseases and surgical procedures due to trauma, but we also encountered complex chronic diseases. This report describes clinical history, signs and symptoms, diagnostics, and treatment of six pediatric patients with untreated inborn errors of metabolism (IEM): phenylketonuria, biotinidase deficiency, HMG-CoA lyase deficiency, mucopolysaccharidosis type II, and mucopolysaccharidosis type VI. Since early diagnosis and treatment is essential in IEM, both delayed diagnosis and inadequate therapy in refugee children may lead to significant brain injury, organ damage, and even death. Severe neurological sequelae in both phenylketonuria and HMG-CoA lyase deficiency could have been prevented by newborn screening. Screening programs are necessary to improve the prognoses for refugee children. European Union governments and involved health care systems should pursue early diagnosis and treatment in pediatric refugees regarding IEM to prevent neurological long-term sequelae."
29954012," Venomous and hematophagous animals use their venom or saliva for survival, to obtain food, and for self-defense. Venom and saliva from these animals are cocktails of bioactive molecules primarily composed of proteins and peptides. These molecules are called toxins because they cause unwanted consequences on prey. They exhibit unique, diverse, and specific biological activities that perturb normal physiological processes of their prey and host. However, the potential of toxins as inspirations for the development of therapeutic agents or pharmacological tools has also long been recognized. In addition to their small size, the exquisite selectivity and structural stability of toxins make them attractive as starting molecule in the development of therapeutic and diagnostic agents. Drug discovery and development from venomous and hematophagous animals against cardiovascular diseases have been particularly successful. Some of the notable success include antihypertensive (captopril and enalapril) and antiplatelet agents (tirofiban and eptifibatide), as well as anticoagulants (lepirudin and bivalirudin). Highlighted in this review are many venom or saliva-derived cardiovascular-active proteins and peptides of therapeutic interest, including those that are currently in preclinical stages and those that have been approved by FDA and currently in the market. The authors attempt to summarize their structure, function, mechanism of action, and development with respect to cardiovascular diseases."
29954011," Despite an abundance of literature on the risk of a first venous thromboembolic event (VTE) in autoimmune diseases, specific recommendations about managing VTE in autoimmune diseases are lacking. This article aimed to collect evidence on the risk of recurrent VTE in patients with autoimmune diseases. The authors searched PubMed/Embase for studies including patients with VTE and autoimmune diseases as an exposure or studies including patients with autoimmune diseases in which recurrent VTE was one of the outcomes. Eleven articles were selected from 4,739 unique abstracts. Of the 11 studies, 3 reported time-dependent rates. Two studies collected rates of recurrence in Behcet's disease, reporting a 5-year recurrence risk between 35 and 40%. However, the 5-year recurrence risk was lower than 10% in patients treated with immunosuppressant medication, while two studies suggested frequent recurrence in patients on only anticoagulant therapy. The other study reporting time-dependent incidence concerned patients with inflammatory bowel disease and index VTE. The 5-year risk of recurrent VTE was 33.4%, yielding a hazard ratio of 1.7 versus controls. All studies were retrospective and therefore risk may overestimate recurrence risk in comparison with known prospective cohort studies. There are insufficient data to make confident recommendations about the management of recurrent VTE prevention in patients with autoimmune diseases in general. The overall VTE risk profile, lower effectiveness of anticoagulants, and the observation that immunosuppression lowered risk of recurrence in patients with Behcet's disease seem to warrant immunosuppressant therapy over anticoagulation as a first consideration when preventing VTE recurrence in these patients."
29954010," Chemokine CX3CL1 (fractalkine) may be an important factor linking thyroid status and bone remodeling, through tetrac, a derivative of thyroxine. This study explores the relationship between serum fractalkine levels and parameters of thyroid status and bone in premenopausal women with Graves' disease (GD) in comparison to healthy controls. This cross-sectional study included three premenopausal female groups: active GD; cured GD, and healthy age-, gender-, and BMI-matched controls. Measurement of serum fractalkine levels (Quantikine"
29954009,"  Peroneus brevis muscle flap is a distinguished, distally based safe flap that can be manipulated to cover small defects in the leg and ankle. For large-sized defects, a more distal, larger flap is required either locally or distantly.  Forty-two distally based peroneus brevis muscle flaps were elevated in 42 patients (30 males and 12 females) with major lower leg, ankle, and proximal foot defects of 6 to 15 cm in length and 6 to 12 cm in width. Anatomical findings were recorded as number, size, and sources of blood supply, entry sites, the lowermost two arterial supplies, internal distribution of blood supply to the muscle, the relationship between external and internal distribution of the blood vessels, the length of the muscle, the entry site of the main artery, and the splitting of the proximal portion of the peroneus brevis muscle to increase its width to sufficiently cover large defects.  The anatomical findings suggested that the muscle can be safely extended to cover a large defect in the leg, ankle, or proximal foot. In addition, the longitudinal splitting of the muscle increases its width by up to three times, making it an excellent long-surviving flap to cover a large defect.  A distally based peroneus brevis muscle flap has a rich blood supply and safely reaches the proximal foot, with a secure splitting to cover large defects in the leg, ankle, and proximal foot."
29954008,"  The aim of this study was to propose a novel, comprehensive, macroscopic classification for bile duct lesions.  A two-stage protocol was designed. In Stage I, a retrospective study (September 2013 to September 2015) of patients with bile duct lesions detected by peroral cholangioscopy (POCS) was performed. A total of 315 images with at least 6 months of follow-up were recorded, analyzed, and correlated to histology, and were classified as non-neoplastic (one of three types, 1 - 3) or neoplastic (one of four types, 1 - 4) based on morphological and vascular patterns. In Stage II, a prospective, nonrandomized, double-blind study was performed from December 2015 to December 2016 to validate the proposed classification. Sensitivity, specificity, positive and negative predictive values (PPV and NPV, respectively), and positive and negative likelihood ratios (LR + and LR - , respectively) were calculated (gold standard: 6-month follow-up). Inter- and intraobserver agreement (kappa value, κ) among experts and non-experts were calculated.  171 patients were included (65 retrospective; 106 prospective). In Stage I, 28/65 cases were neoplastic and 37 /65 were non-neoplastic, according to the final diagnosis. In Stage II, 56/106 were neoplastic with a sensitivity, specificity, PPV, NPV, LR + , and LR - for neoplastic diagnosis of 96.3 %, 92.3 %, 92.9 %, 96 %, 12.52, and 0.04, respectively. The proposed classification presented high reproducibility among observers, for both neoplastic and subtypes categories. However, it was better for experts (κ > 80 %) than non-experts (κ 64.7 % - 81.9 %). The novel classification system could help physicians to distinguish non-neoplastic from neoplastic bile duct lesions."
29954003," A tube dysfunction is a common medical issue and can promote chronic otitis media. With the implementation of the Balloon dilation a treatment of the chronic tube dysfunction was set. In the present study significance of this method was assessed, especially questioning the success in practical terms of tympanic membrane retraction. In a retrospective study, in a period of assessment from 2011 until 2016, the data of 81 patients, who underwent Balloon dilation of the Eustachian tube due to chronic tube dysfunction with regard to a preoperative presence of tympanic membrane retraction were evaluated. The success of the Balloon dilation was judged due to the capability of a postoperative SVT- Test and the patients' self-assessment. With an average postoperative period of four months, the data of 13 patients were analyzed based on presence of pre- and postoperative tympanic membrane retraction. The treatment occurred at all cases without complications. In patients with chronic tube dysfunction the method revealed an improvement of 46 %, while 31 % of the patients with tympanic membrane retraction showed an improvement of the middle ear ventilation. Subjectively perceived 54 % of the patients marked an improvement of their clinical symptoms. In spite of a self-assessed improvement in 54 % only 31 % of the patients with chronic membrane retraction showed an objectively measurable success. To evaluate the question if combination with other middle ear surgeries shows better results, further studies, including more patients and data, are required."
29954002," The implementation of the Preventive Health Care Act 2015 requires framework agreements between social insurances and ministries on the state level (Länder). This article analyses the 15 agreements already concluded and provides an overview of similarities and differences between states. We conducted a qualitative content analysis for all 15 agreements. In a first step, we compared the agreements with the model agreement that had informed the negotiations in all states, and identified for each paragraph of the agreement divergent content. In a second step, we compared the divergent content and built subcategories. Third, we classified similarities and differences of each category. For this article, we selected 4 categories: goals and fields of action, committees and regulatory structures, cooperation requirements, cooperation with further actors. All agreements refer to the nationally agreed health goals, some define further, state-specific goals. Furthermore, the agreements provide regulations regarding the goal definition process: some processes only include the subscribers of the agreement, while others involve all relevant stakeholders. New regulatory structures are created in almost all states, but their institutional design and mode of interaction vary highly between state. In 4 states the new structures aim at establishing a dialogue, in 3 states, the goal is to enable coordination, and in 7 states decision-making bodies are set up. Almost all agreements are missing concrete commitments regarding cooperation with other relevant actors on state and local level. Most agreements are very general and their binding character is low. The agreements merely set the framework that now needs to be filled. Hence, evaluating the actual implementation of the agreements will only be possible in a few years."
29954001," Colorectal cancer (CRC) is the second leading cause of cancer-related deaths. The development of preventive strategies in CRC has been the subject of much research. Multiple studies have shown an association between diabetes and CRC. In addition to its glucose-lowering properties, metformin might have an additional role in the prevention and treatment of CRC. OUR OBJECTIVE: was to summarize findings on role of metformin in colorectal cancer. We conducted a systematic review of the PubMed and Cochrane databases from January 2005 to December 2017 in search for studies on the association between metformin and CRC. Of the total of 189 studies identified by the search, we excluded 123 studies and reviewed the remaining 66 studies on cell lines, animals, patients with diabetes, and healthy subjects. In vitro and animal studies have shown a protective effect of metformin use on the incidence of CRC and amplification of the therapeutic effects of CRC chemotherapy. Studies on patients with type 2 diabetes treated with metformin analyzed data on total of 146 496 patients. The results of those studies on the role of metformin in CRC suggest risk reduction and potential applications within therapeutic regimens, although some of those are conflicting. Further studies are warranted to define the role of metformin in both prevention and treatment of CRC."
