,pathogen,disease,symptoms
39,Actinobacillus ureae A.,actinobacillosis;Meningitis; pneumonia; endocarditis; hepatitis; peritonitis,
40,Actinobaculum massiliense A.,"Pyelonephritis, UTI, septicaemia, superficial skin infection",
41,Actinomadura latina A.,"Actinomycetoma, Madura foot",
42,Actinomadura madurae A.,"Actinomycetoma, Madura foot",
43,Actinomadura pelletieri A.,"Actinomycetoma, Madura foot",
44,Actinomadura vinacea A.,"Actinomycetoma, Madura foot",
45,Actinomucor elegans A.,,
46,Actinomyces cardiffensis A.,Actinomycosis,
47,Actinomyces dentalis A.,Actinomycosis,
48,Actinomyces europaeus A.,Actinomycosis,
49,Actinomyces funkei A.,Actinomycosis,
50,Actinomyces georgiae A.,Actinomycosis,
51,Actinomyces gerencseriae A.,actinomycosis;Actinomycosis,
52,Actinomyces graevenitzii A.,Actinomycosis,
53,Actinomyces hongkongensis A.,Actinomycosis,
54,Actinomyces israelii A.,actinomycosis;Actinomycosis,
55,Actinomyces meyeri A.,actinomycosis;Actinomycosis,
56,Actinomyces naeslundii A.,actinomycosis;Actinomycosis,
57,Actinomyces neuii subsp. anitratus A.,Actinomycosis,
58,Actinomyces neuii subsp. neuii A.,Actinomycosis,
59,Actinomyces odontolyticus A.,actinomycosis;Actinomycosis,
60,Actinomyces oricola A.,Actinomycosis,
61,Actinomyces radicidentis A.,Actinomycosis,
62,Actinomyces radingae A.,Actinomycosis,
63,Actinomyces turicensis A.,Actinomycosis,
64,Actinomyces urogenitalis A.,Actinomycosis,
65,Actinomyces viscosus A.,actinomycosis;Actinomycosis,
66,Actinopterygii A.,fish allergy,
67,Actinotignum schaalii A.,"Pyelonephritis, UTI, septicaemia, superficial skin infection",
68,Actinotignum urinale A.,"Pyelonephritis, UTI, septicaemia, superficial skin infection",
69,Adeno-associated dependoparvovirus A AADAV,,
70,Adeno-associated dependoparvovirus B AADBV,,
71,Advenella incenata A.,"Pulmonary infection, bacteraemia",
72,Aedes <genus> A.,Zika fever,
73,Aerococcus sanguinicola A.,"Endocarditis, UTI, wounds, meningitis, abscesses, CAPD peritonitis, lymphadenitis, spondodactylitis",
74,Aerococcus urinae A.,"Endocarditis, UTI, wounds, meningitis, abscesses, CAPD peritonitis, lymphadenitis, spondodactylitis",
75,Aerococcus urinaehominis A.,"Endocarditis, UTI, wounds, meningitis, abscesses, CAPD peritonitis, lymphadenitis, spondodactylitis",
76,Aerococcus viridans A.,"Endocarditis, UTI, wounds, meningitis, abscesses, CAPD peritonitis, lymphadenitis, spondodactylitis",
77,Aeromonas allosaccharophila A.,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
78,Aeromonas bestiarum A.,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
79,Aeromonas caviae A.,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
80,Aeromonas enteropelogenes A.,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
81,Aeromonas hydrophila A.,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
82,Aeromonas jandaei A.,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
83,Aeromonas media A.,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
84,Aeromonas salmonicida A.,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
85,Aeromonas schubertii A.,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
86,Aeromonas veronii A.,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
87,Afipia birgiae A.,Pneumonia,
88,Afipia broomeae A.,"Bone marrow infection, septic arthritis",
89,Afipia clevelandensis A.,Bone infection,
90,Afipia felis A.,Cat-scratch disease,
91,Afipia massiliensis A.,Pneumonia,
92,Aggregatibacter actinomycetemcomitans A.,"Periodontitis, endocarditis, abscesses, pericarditis, meningitis",
93,Aggregatibacter aphrophilus A.,"Sinusitis, otitis media, pneumonia, abscesses, endocarditis",
94,Aggregatibacter segnis A.,"Sinusitis, otitis media, pneumonia, abscesses, endocarditis",
95,Agrobacterium tumefaciens A.,"Endocarditis, CAPD peritonitis, UTI, line sepsis",
96,Aguacate virus AV,,
97,Aichivirus A AAV,,
98,Akabane orthobunyavirus AOV,,
99,Alcaligenes faecalis A.,"Pneumonia, otitis, UTI, osteomyelitis, bacteraemia",
100,Alethinophid 1 reptarenavirus ARV,,
101,Alethinophid 3 reptarenavirus ARV,,
102,Aleutian mink disease virus AMDV,aleutian mink disease,
103,Alishewanella fetalis A.,From fetal necropsy specimen,
104,Alistipes finegoldii A.,"Appendicitis, peritonitis, abdominal abscess",
105,Alistipes onderdonkii A.,"Appendicitis, peritonitis, abdominal abscess",
106,Alistipes putredinis A.,"Appendicitis, peritonitis, abdominal abscess",
107,Alistipes shahii A.,"Appendicitis, peritonitis, abdominal abscess",
108,Alkhumra hemorrhagic fever virus AHFV,Alkhurma hemorrhagic fever,
109,Alkhurma hemorrhagic fever virus AHFV,Alkhurma hemorrhagic fever,"fever,  headache,  body ache,  joint pain,  anorexia,  vomiting,  leukopenia,  thrombocytopenia, fever,"
110,Alloiococcus otitis A.,Otitis media,
111,Alloprevotella tannerae A.,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
112,Allpahuayo mammarenavirus AMV,,
113,Alphapapillomavirus 4 AV,,
114,Alphapapillomavirus 7 AV,,
115,Alternaria A.,phaeohyphomycosis,
116,Alternaria alternata A.,,
117,Alternaria botrytis A.,,
118,Alternaria caespitosa A.,,
119,Alternaria chartarum A.,,
120,Alternaria chlamydospora A.,,
121,Alternaria dianthicola A.,,
122,Alternaria infectoria A.,,
123,Alternaria longipes A.,,
124,Alternaria tenuissima A.,,
125,Amapar mammarenavirus AMV,,
126,Ambe virus AV,,
127,Amblyomma americanum A.,human granulocytic anaplasmosis,
128,Amblyomma cajennense A.,Flinders Island spotted fever,
129,Amblyomma hebraeum A.,African tick-bite fever,
130,Amblyomma maculatum A.,Rickettsia parkeri spotted fever,
131,Amblyomma variegatum A.,African tick-bite fever,
132,Amesia atrobrunnea A.,,
133,Ammonia A.,ornithine translocase deficiency,
134,Amur virus AV,undocumented,
135,Amycolatopsis orientalis A.,,
136,Amycolatopsis palatopharyngis A.,Palatopharyngeal infection,
137,Anaerobiospirillum succiniciproducens A.,"Diarrhoea, bacteraemia",
138,Anaerobiospirillum thomasii A.,"Diarrhoea, bacteraemia",
139,Anaerococcus hydrogenalis A.,"Mixed anaerobic infections, abscesses",
140,Anaerococcus lactolyticus A.,"Mixed anaerobic infections, abscesses",
141,Anaerococcus octavius A.,"Mixed anaerobic infections, abscesses",
142,Anaerococcus prevotii A.,"Mixed anaerobic infections, abscesses",
143,Anaerococcus tetradius A.,"Mixed anaerobic infections, abscesses",
144,Anaerococcus vaginalis A.,"Mixed anaerobic infections, abscesses",
145,Anaeroglobus geminatus A.,From postoperative collection,
146,Anaerorhabdus furcosa A.,"Lung abscess, appendix and abdominal abscesses",
147,Anaplasma phagocytophilum A.,human granulocytic anaplasmosis;ehrlichiosis;Anaplasmosis,
148,Andes orthohantavirus AOV,,
149,Andes virus AV,hantavirus pulmonary syndrome,
150,Anhanga virus AV,,
151,Anisakis simplex A.,anisakiasis,
152,Anjozorobe hantavirus AHV,,
153,Anopheles <genus> A.,West Nile encephalitis,
154,Anopheles funestus A.,O'nyong'nyong fever,
155,Anopheles gambiae A.,O'nyong'nyong fever,
156,Anthopsis deltoidea A.,,
157,Aphanoascus fulvescens A.,,
158,Aphanoascus keratinophilus A.,,
159,Apiotrichum domesticum A.,,
160,Apiotrichum loubieri A.,,
161,Apodemus agrarius A.,Korean hemorrhagic fever,
162,Apodemus flavicollis A.,Balkan hemorrhagic fever,
163,Apoi virus AV,,
164,Apophysomyces elegans A.,,
165,Arachnomyces nodosetosus A.,,
166,Arcanobacterium haemolyticum A.,"Tonsillitis, cellulitis, lymphadenopathy, brain abscess, septicaemia, osteomyelitis",
167,Arcobacter butzleri A.,"Abdominal cramps, diarrhoea",
168,Arcobacter cryaerophilus A.,"Abdominal cramps, diarrhoea",
169,Arnium leporinum A.,,
170,Aroa virus AV,,
171,Arrabida virus AV,,
172,Arthrinium phaeospermum A.,,
173,Arthrobacter luteolus A.,"UTI, bacteraemia, skin infection",
174,Arthrobacter woluwensis A.,"UTI, bacteraemia, skin infection",
175,Arthroderma borellii A.,,
176,Arthroderma flavescens A.,,
177,Arthroderma gertleri A.,,
178,Arthroderma gloriae A.,,
179,Arthroderma grubyi A.,,
180,Arthroderma insingulare A.,,
181,Arthroderma lenticulare A.,,
182,Arthroderma olidum A.,,
183,Arthroderma phaseoliforme A.,,
184,Arthroderma quadrifidum A.,,
185,Arthroderma racemosum A.,,
186,Arthroderma thuringiensis A.,,
187,Arthroderma uncinatum A.,,
188,Arthrographis arxii A.,,
189,Arumowot virus AV,,
190,Asaccharospora irregularis A.,"Wound infection, bacteraemia, abscesses",
191,Ascomycota A.,dermatophytosis;endothrix infectious disease;tinea corporis;tinea cruris;tinea unguium;dermatomycosis;tinea manuum,
192,Ascotricha chartarum A.,,
193,Aspergillus acidus A.,,
194,Aspergillus aculeatus A.,,
195,Aspergillus alabamensis A.,,
196,Aspergillus alliaceus A.,,
197,Aspergillus amstelodami A.,,
198,Aspergillus avenaceus A.,,
199,Aspergillus brasiliensis A.,,
200,Aspergillus caesiellus A.,,
201,Aspergillus calidoustus A.,,
202,Aspergillus candidus A.,,
203,Aspergillus carneus A.,,
204,Aspergillus chevalieri A.,,
205,Aspergillus chlamydosporus A.,,
206,Aspergillus clavatonanicus A.,,
207,Aspergillus clavatus A.,,
208,Aspergillus conicus A.,,
209,Aspergillus deflectus A.,,
210,Aspergillus fischeri A.,,
211,Aspergillus flavus A.,,
212,Aspergillus fumigatiaffinis A.,,
213,Aspergillus fumigatus A.,,
214,Aspergillus fumisynnematus A.,,
215,Aspergillus glaucus A.,,
216,Aspergillus granulosus A.,,
217,Aspergillus insolitus A.,,
218,Aspergillus janus A.,,
219,Aspergillus japonicus A.,,
220,Aspergillus lentulus A.,,
221,Aspergillus neoflavipes A.,,
222,Aspergillus neoniveus A.,,
223,Aspergillus nidulans A.,,
224,Aspergillus niger A.,,
225,Aspergillus nomius A.,,
226,Aspergillus ochraceopetaliformis A.,,
227,Aspergillus ochraceus A.,,
228,Aspergillus oryzae A.,,
229,Aspergillus persii A.,,
230,Aspergillus pseudoglaucus A.,,
231,Aspergillus quadrilineatus A.,,
232,Aspergillus restrictus A.,,
233,Aspergillus rugulosus A.,,
234,Aspergillus sclerotiorum A.,,
235,Aspergillus spinosus A.,,
236,Aspergillus sydowii A.,,
237,Aspergillus tamarii A.,,
238,Aspergillus terreus A.,,
239,Aspergillus thermomutatus A.,,
240,Aspergillus tritici A.,,
241,Aspergillus tubingensis A.,,
242,Aspergillus udagawae A.,,
243,Aspergillus unguis A.,,
244,Aspergillus ustus A.,,
245,Aspergillus versicolor A.,,
246,Aspergillus viridinutans A.,,
247,Atlantibacter hermannii A.,Wounds,
248,Atlantibacter subterranea A.,"Gastroenteritis, enteric fever, osteomyelitis",
249,Atopobium minutum A.,"UTI, dental abscesses, pelvic abscesses, wound infection",
250,Atopobium parvulum A.,"UTI, dental abscesses, pelvic abscesses, wound infection",
251,Atopobium rimae A.,"UTI, dental abscesses, pelvic abscesses, wound infection",
252,Atopobium vaginae A.,Bacterial vaginosis,
253,Aureobasidium A.,phaeohyphomycosis,
254,Aureobasidium pullulans A.,,
255,Australian bat lyssavirus ABLV,,
256,Avibacterium gallinarum A.,"Wound infection, septicaemia, abscesses, pneumonia, endocarditis, meningitis",
257,Azohydromonas lata A.,"Pneumonia, otitis, UTI, osteomyelitis, bacteraemia",
258,Azospirillum brasilense A.,"CAPD peritonitis, line sepsis",
259,Bacillus anthracis B.,Gastrointestinal anthrax;Anthrax,"throat pain,  fever,  muscles ache,  malaise,  chills,  night sweats,  cough,  dyspnea,  fatigue,  abdominal discomfort,  nausea,  loss of appetite,  vomiting,  abdominal pain,  diarrhea,  toxemia,  lesions in oropharynx,  cervical lymphadenopathy,  cervical edema,  hoarseness,  dysphagia, throat pain,"
260,Bacillus anthracis '34F2 (NMRC)' B.,Anthrax,
261,Bacillus anthracis '34F2 delta gerH' B.,Anthrax,
262,Bacillus anthracis str. 'Ames Ancestor' B.,Anthrax,
263,Bacillus anthracis str. A0174 B.,Anthrax,
264,Bacillus anthracis str. A0193 B.,Anthrax,
265,Bacillus anthracis str. A0389 B.,Anthrax,
266,Bacillus anthracis str. A0442 B.,Anthrax,
267,Bacillus anthracis str. A0465 B.,Anthrax,
268,Bacillus anthracis str. A0488 B.,Anthrax,
269,Bacillus anthracis str. A1055 B.,Anthrax,
270,Bacillus anthracis str. A2012 B.,Cutaneous anthrax,
271,Bacillus anthracis str. Ames B.,Anthrax,
272,Bacillus anthracis str. Australia 94 B.,Anthrax,
273,Bacillus anthracis str. CNEVA-9066 B.,Anthrax,
274,Bacillus anthracis str. Kruger B B.,Anthrax,
275,Bacillus anthracis str. Sterne B.,Anthrax,
276,Bacillus anthracis str. Vollum B.,Anthrax,
277,Bacillus anthracis str. Western North America USA6153 B.,Anthrax,
278,Bacillus cereus B.,"Food poisoning, wound infection, cutaneous lesions, bacteraemia, endocarditis, eye infection",
279,Bacillus circulans B.,"Pneumonia, septicaemia, corneal infections, meningitis, food poisoning, eye infection, lung infection",
280,Bacillus coagulans B.,"Pneumonia, septicaemia, corneal infections, meningitis, food poisoning, eye infection, lung infection",
281,Bacillus licheniformis B.,"Food poisoning, wound infection, cutaneous lesions, bacteraemia, endocarditis, eye infection",
282,Bacillus megaterium B.,"Pneumonia, septicaemia, corneal infections, meningitis, food poisoning, eye infection, lung infection",
283,Bacillus mycoides B.,"Pneumonia, septicaemia, corneal infections, meningitis, food poisoning, eye infection, lung infection",
284,Bacillus pumilus B.,"Food poisoning, wound infection, cutaneous lesions, bacteraemia, endocarditis, eye infection",
285,Bacillus subtilis B.,"Food poisoning, wound infection, cutaneous lesions, bacteraemia, endocarditis, eye infection",
286,Bacillus thuringiensis B.,"Pneumonia, septicaemia, corneal infections, meningitis, food poisoning, eye infection, lung infection",
287,Bacteria B.,bacterial infectious disease;typhus;Mycobacterium avium complex disease,
288,Bacteria <prokaryote> B.,disease by infectious agent,
289,Bacteroides caccae B.,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
290,Bacteroides coagulans B.,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
291,Bacteroides eggerthii B.,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
292,Bacteroides finegoldii B.,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
293,Bacteroides fragilis B.,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
294,Bacteroides heparinolyticus B.,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
295,Bacteroides massiliensis B.,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
296,Bacteroides nordii B.,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
297,Bacteroides ovatus B.,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
298,Bacteroides pyogenes B.,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
299,Bacteroides salyersiae B.,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
300,Bacteroides stercoris B.,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
301,Bacteroides thetaiotaomicron B.,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
302,Bacteroides uniformis B.,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
303,Bacteroides vulgatus B.,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
304,Bacteroides zoogleoformans B.,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
305,Bagaza virus BV,,
306,Balneatrix alpica B.,"Pneumonia, bacteraemia, meningitis",
307,Banna virus BV,,
308,Barmah Forest virus BFV,Barmah Forest virus disease,
309,Bartonella bacilliformis B.,Carrion's disease;Oroya fever; verruga peruana,
310,Bartonella clarridgeiae B.,cat-scratch disease;Cat-scratch disease; bacillary angiomatosis,
311,Bartonella elizabethae B.,Endocarditis,
312,Bartonella henselae B.,cat-scratch disease;Cat-scratch disease; bacillary angiomatosis,
313,Bartonella quintana B.,trench fever;Trench fever; bacillary angiomatosis,
314,Bartonella schoenbuchensis B.,Deer ked dermatitis,
315,Bartonella vinsonii subsp. arupensis B.,Bacteraemia,
316,Basidiobolus ranarum B.,,
317,Batrachochytrium dendrobatidis B.,,
318,Bayou virus BV,Hantavirus pulmonary syndrome,
319,Bear Canyon mammarenavirus BCMV,,
320,Beilong virus BV,,
321,Bergeyella zoohelcum B.,"Wound infection, septicaemia, meningitis",
322,Bhanja virus BV,,
323,Biatriospora mackinnonii B.,,
324,Bifidobacterium adolescentis B.,"Bacteraemia, abscesses, peritonitis, otitis, paronychia",
325,Bifidobacterium angulatum B.,"Bacteraemia, abscesses, peritonitis, otitis, paronychia",
326,Bifidobacterium bifidum B.,"Bacteraemia, abscesses, peritonitis, otitis, paronychia",
327,Bifidobacterium dentium B.,"Bacteraemia, abscesses, peritonitis, otitis, paronychia",
328,Bifidobacterium longum B.,"Bacteraemia, abscesses, peritonitis, otitis, paronychia",
329,Bifidobacterium pseudocatenulatum B.,"Bacteraemia, abscesses, peritonitis, otitis, paronychia",
330,Bijou Bridge virus BBV,,
331,Bilophila wadsworthia B.,"Appendicitis, abscesses, bacteraemia, biliary tract sepsis, mastoiditis",
332,Bjerkandera adusta B.,,
333,Black Creek Canal virus BCCV,Hantavirus pulmonary syndrome,
334,Blastobotrys chiropterorum B.,,
335,Blastomyces dermatitidis B.,,
336,Blautia hansenii B.,"Abdominal sepsis, abscesses",
337,Blautia luti B.,"Abdominal sepsis, abscesses",
338,Blautia producta B.,"Abdominal sepsis, abscesses",
339,Bokeloh bat lyssavirus BBLV,,
340,Bordetella bronchiseptica B.,Respiratory tract infection,
341,Bordetella hinzii B.,"Bacteraemia, otitis, wound infection",
342,Bordetella holmesii B.,"Bacteraemia, otitis, wound infection",
343,Bordetella parapertussis B.,pertussis;Whooping cough; respiratory tract infection,
344,Bordetella pertussis B.,pertussis;Whooping cough; respiratory tract infection,
345,Bordetella trematum B.,"Bacteraemia, otitis, wound infection",
346,Borna disease virus BDV,borna disease,
347,Borrelia B.,relapsing fever,
348,Borrelia burgdorferi B.,Lyme disease,
349,Borrelia caucasica B.,Relapsing fever,
350,Borrelia crocidurae B.,Relapsing fever,
351,Borrelia duttonii B.,Relapsing fever,
352,Borrelia graingeri B.,Relapsing fever,
353,Borrelia hermsii B.,Relapsing fever,
354,Borrelia hispanica B.,Relapsing fever,
355,Borrelia latyschewii B.,Relapsing fever,
356,Borrelia mazzottii B.,Relapsing fever,
357,Borrelia parkeri B.,Relapsing fever,
358,Borrelia persica B.,Relapsing fever,
359,Borrelia recurrentis B.,Relapsing fever,
360,Borrelia turicatae B.,Relapsing fever,
361,Borrelia venezuelensis B.,Relapsing fever,
362,Borreliella afzelii B.,Lyme disease,
363,Borreliella andersonii B.,Lyme disease,
364,Borreliella bissettii B.,Lyme disease,
365,Borreliella burgdorferi B.,Lyme disease,
366,Borreliella garinii B.,Lyme disease,
367,Borreliella japonica B.,Lyme disease,
368,Borreliella lusitaniae B.,Lyme disease,
369,Borreliella sinica B.,Lyme disease,
370,Borreliella spielmanii B.,Lyme disease,
371,Borreliella tanukii B.,Lyme disease,
372,Borreliella turdi B.,Lyme disease,
373,Borreliella valaisiana B.,Lyme disease,
374,Bosea massiliensis B.,Linked with ventilator-associated pneumonia,
375,Botryotrichum murorum B.,,
376,Bouboui virus BV,,
377,Bowe orthohantavirus BOV,,
378,Brachyspira aalborgi B.,Intestinal spirochaetosis,
379,Brachyspira pilosicoli B.,Intestinal spirochaetosis,
380,Bradyrhizobium elkanii B.,Detected in tissue from aortic aneurysm,
381,Brazoran virus BV,,
382,Brevibacillus centrosporus B.,Bacteraemia,
383,Brevibacillus parabrevis B.,"Bacteraemia, abscess",
384,Brevibacterium casei B.,"Bacteraemia, endocarditis, meningitis, chest infection, pericarditis, vascular catheter sepsis",
385,Brevibacterium epidermidis B.,"Bacteraemia, endocarditis, meningitis, chest infection, pericarditis, vascular catheter sepsis",
386,Brevibacterium luteolum B.,"Bacteraemia, endocarditis, meningitis, chest infection, pericarditis, vascular catheter sepsis",
387,Brevibacterium mcbrellneri B.,"Bacteraemia, endocarditis, meningitis, chest infection, pericarditis, vascular catheter sepsis",
388,Brevibacterium otitidis B.,"Bacteraemia, endocarditis, meningitis, chest infection, pericarditis, vascular catheter sepsis",
389,Brevibacterium paucivorans B.,"Bacteraemia, endocarditis, meningitis, chest infection, pericarditis, vascular catheter sepsis",
390,Brevundimonas diminuta B.,"Septicaemia, endocarditis",
391,Brevundimonas vesicularis B.,"Septicaemia, endocarditis",
392,Brucella abortus B.,Brucellosis;Brucellosis,"fever,  sweat,  headache,  backache,  weakness,  decreased milk production,  loss of weight,  abortion,  infertility,  lameness, fever,"
393,Brucella abortus S19 B.,Brucellosis,
394,Brucella abortus bv. 1 B.,Brucellosis,
395,Brucella abortus bv. 1 str. 9-941 B.,Brucellosis,
396,Brucella abortus bv. 2 str. 86/8/59 B.,Spontaneous abortion,
397,Brucella abortus bv. 4 str. 292 B.,Spontaneous abortion,
398,Brucella canis B.,Brucellosis;Brucellosis,"fever,  sweat,  headache,  backache,  weakness, fever,"
399,Brucella melitensis B.,Brucellosis;Brucellosis,"decreased milk production,  loss of weight,  abortion,  infertility,  lameness,  fever,  sweat,  headache,  backache,  weakness, decreased milk production,"
400,Brucella melitensis 16M B.,Brucellosis,"abortion, abortion,"
401,Brucella melitensis ATCC 23457 B.,Brucellosis,
402,Brucella melitensis biovar Abortus 2308 B.,undocumented,
403,Brucella melitensis bv. 1 str. Rev.1 B.,Brucellosis,
404,Brucella sp. B.,Brucellosis,"decreased milk production,  loss of weight,  abortion,  infertility,  lameness,  fever,  sweat,  headache,  backache,  weakness, decreased milk production,"
405,Brucella suis B.,Brucellosis;Brucellosis,"decreased milk production,  loss of weight,  abortion,  infertility,  lameness,  fever,  sweat,  headache,  backache,  weakness, decreased milk production,"
406,Brucella suis 1330 B.,unknown,
407,Brucella suis ATCC 23445 B.,Brucellosis,
408,Bruges orthohantavirus BOV,,
409,Bujaru phlebovirus BPV,,
410,Bulleidia extructa B.,Necrotizing ulcerative periodontitis in HIV patients,
411,Bundibugyo ebolavirus EBOV,,
412,Bundibugyo virus BV,Ebola hemorrhagic fever,
413,Bunyamwera orthobunyavirus BOV,,
414,Burkholderia ambifaria B.,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
415,Burkholderia anthina B.,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
416,Burkholderia cenocepacia B.,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
417,Burkholderia cepacia B.,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
418,Burkholderia dolosa B.,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
419,Burkholderia gladioli B.,Lung infection in cystic fibrosis,
