,pathogen,source,disease,tsource,ttype,portal,infection_atts,tatts,TBD
10000014,Bacillus anthracis str. A2012,Homo sapiens,Cutaneous anthrax,letter,contact,skin,URL:http://www.cdc.gov/mmwr/preview/mmwrhtml/mm5042a1.htm;PMID:18952800;PMID:17093023;URL:http://pubs.acs.org/doi/pdf/10.1021/ac086131g;URL:http://www.hhs.gov/disasters/discussion/planners/playbook/anthrax/aerosolized/index.html,URL:http://www.cdc.gov/mmwr/preview/mmwrhtml/mm5042a1.htm;PMID:18952800;PMID:17093023;URL:http://pubs.acs.org/doi/pdf/10.1021/ac086131g;URL:http://www.hhs.gov/disasters/discussion/planners/playbook/anthrax/aerosolized/index.html,
10000015,Bacillus anthracis str. Ames,undocumented,Anthrax,undocumented,undocumented,undocumented,URL:http://www.ncbi.nlm.nih.gov/sites/entrez?Db=genomeprj&cmd=ShowDetailView&TermToSearch=309,URL:http://www.ncbi.nlm.nih.gov/sites/entrez?Db=genomeprj&cmd=ShowDetailView&TermToSearch=309,
10000016,Bacillus anthracis str. A2012,Homo sapiens,Cutaneous anthrax,fomite,vehicle-borne fomite,skin,PMID:11851579;PMID:18952800;PMID:17093023,PMID:11851579;PMID:18952800;PMID:17093023,
10000018,Clostridium botulinum,Homo sapiens,Botulism,unknown,unknown,unknown,toxin=Clostridium botulinum neurotoxins;PMID:12532215;PMID:12631917;PMID:9585323,PMID:12532215;PMID:12631917;PMID:9585323,
10000019,Clostridium botulinum,Homo sapiens,Hidden botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=Clostridium botulinum neurotoxins;PMID:9585323,PMID:9585323,
10000020,Clostridium botulinum,Homo sapiens,Botulism,air,airborne,respiratory system,toxin=Clostridium botulinum neurotoxins;PMID:9585323,PMID:9585323,
10000021,Clostridium botulinum,Homo sapiens,Botulism,not curated,contact,skin,toxin=Clostridium botulinum neurotoxins,,
10000022,Clostridium botulinum,Homo sapiens,Botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=Clostridium botulinum neurotoxins,,
10000023,Clostridium botulinum,Homo sapiens,Botulism,not curated,vehicle-borne medical,muscle,toxin=Clostridium botulinum neurotoxins,,
10000024,Clostridium botulinum,Homo sapiens,Foodborne botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=Clostridium botulinum neurotoxins;PMID:10372500;PMID:12631917;PMID:15498162;PMID:15498163;PMID:9585323;symptom=abdominal cramp;symptom=disturbed vision;symptom=constipation;symptom=diarrhea;symptom=double vision;symptom=dry mouth;symptom=dysarthria;symptom=dysphagia;symptom=dysphonia;symptom=nausea;symptom=neurological and physiological symptom;symptom=paralysis;symptom=peripheral muscle weakness;symptom=respiratory paralysis;symptom=vertigo;symptom=vomiting,PMID:10372500;PMID:12631917;PMID:15498162;PMID:15498163;PMID:9585323,
10000025,Clostridium botulinum,Homo sapiens,Gastrointestinal infections,food,vehicle-borne ingestion,gastrointestinal system,toxin=Clostridium botulinum neurotoxins,,
10000026,Clostridium botulinum,Homo sapiens,Inadvertent botulism,not curated,vehicle-borne medical,muscle,toxin=Clostridium botulinum neurotoxins;PMID:9585323,PMID:9585323,
10000027,Clostridium botulinum,Homo sapiens,Infant botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=Clostridium botulinum neurotoxins;PMID:12631917;PMID:9585323;PMID:9746583;symptom=afebrile;symptom=bradykinesia;symptom=change in skin color;symptom=constipation;symptom=decreased motor response;symptom=decreased sucking;symptom=diminished gastro-intestinal motility;symptom=diminished spontaneous movement;symptom=dry mucous membrane;symptom=floppy head;symptom=fluctuation of heart rate;symptom=poor feeding;symptom=progressive weakness;symptom=urinary retention;symptom=weak cry,PMID:12631917;PMID:9585323;PMID:9746583,
10000028,Clostridium botulinum,Homo sapiens,Wound botulism,unknown,unknown,unknown,toxin=Clostridium botulinum neurotoxins;PMID:9585323;symptom=disturbed vision;symptom=constipation;symptom=double vision;symptom=dry mouth;symptom=dysarthria;symptom=dysphagia;symptom=dysphonia;symptom=neurological and physiological symptom;symptom=paralysis;symptom=peripheral muscle weakness;symptom=respiratory paralysis,PMID:9585323,
10000029,Clostridium botulinum,Homo sapiens,Wound botulism,not curated,contact,skin,toxin=Clostridium botulinum neurotoxins;PMID:12631920;PMID:15150338;PMID:16280612;PMID:9585323,PMID:12631920;PMID:15150338;PMID:16280612;PMID:9585323,
10000030,Clostridium botulinum A,Homo sapiens,Hidden botulism,intestine,unknown,intestine,toxin=BoNT/A;PMID:3290234,PMID:3290234,
10000031,Clostridium botulinum A,Homo sapiens,Botulism,unknown,unknown,unknown,toxin=BoNT/A;PMID:12532215,PMID:12532215,
10000032,Clostridium botulinum A,Homo sapiens,Foodborne Botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/A;PMID:10208152;PMID:11338122;PMID:12631917;PMID:12824692;PMID:15109552;PMID:15817444;PMID:16617285;PMID:2176923;PMID:3225100;PMID:332309;PMID:3373020;PMID:3797939;PMID:573988;PMID:7885310;PMID:8815754;PMID:9652437;symptom=abdominal pain;symptom=acute cranial nerve dysfunction;symptom=disturbed vision;symptom=colicky pain;symptom=dizziness;symptom=double vision;symptom=dry mouth;symptom=dysphagia;symptom=dyspnea;symptom=facial paralysis;symptom=gastroenteritis;symptom=impaired gag reflex;symptom=limb weakness;symptom=motor weakness;symptom=nausea;symptom=palate weakness;symptom=ptosis;symptom=slurred speech;symptom=vomiting,PMID:10208152;PMID:11338122;PMID:12631917;PMID:12824692;PMID:15109552;PMID:15817444;PMID:16617285;PMID:2176923;PMID:3225100;PMID:332309;PMID:3373020;PMID:3797939;PMID:573988;PMID:7885310;PMID:8815754;PMID:9652437,
10000033,Clostridium botulinum A,Homo sapiens,Inadvertent botulism,not curated,vehicle-borne medical,muscle,toxin=BoNT/A,,
10000034,Clostridium botulinum A,Homo sapiens,Infant botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/A;PMID:12631920;PMID:551513;PMID:9413010;PMID:9532265;PMID:9746583,PMID:12631920;PMID:551513;PMID:9413010;PMID:9532265;PMID:9746583,
10000035,Clostridium botulinum A,Homo sapiens,Wound botulism,not curated,contact,skin,toxin=BoNT/A;PMID:13679792;PMID:15150338;PMID:16606997;PMID:7476845;symptom=absent gag reflex;symptom=cranial nerve palsies;symptom=diminished gag reflex;symptom=dysarthria;symptom=ophthalmoplegia;symptom=ptosis,PMID:13679792;PMID:15150338;PMID:16606997;PMID:7476845,
10000036,Clostridium botulinum A,Homo sapiens,Wound botulism,fomite,vehicle-borne fomite,skin,toxin=BoNT/A;PMID:7476845;symptom=arm weakness;symptom=disturbed vision;symptom=deltoid muscle weakness;symptom=dysphagia;symptom=dyspnea;symptom=facial weakness;symptom=multiple abscesses;symptom=neck weakness;symptom=ophthalmoplegia;symptom=proximal paralysis of arm and leg;symptom=ptosis;symptom=slurred speech;symptom=sternocleidomastoid weakness,PMID:7476845,
10000037,Clostridium botulinum B,Homo sapiens,Foodborne botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/B;PMID:10987245;PMID:11347670;PMID:12631917;PMID:12631920;PMID:14605938;PMID:15498162;PMID:2347382;PMID:332309;PMID:3341673;PMID:3373020;PMID:3797939;PMID:576268;PMID:7808385,PMID:10987245;PMID:11347670;PMID:12631917;PMID:12631920;PMID:14605938;PMID:15498162;PMID:2347382;PMID:332309;PMID:3341673;PMID:3373020;PMID:3797939;PMID:576268;PMID:7808385,
10000038,Clostridium botulinum B,Homo sapiens,Inadvertent botulism,not curated,vehicle-borne medical,muscle,toxin=BoNT/B,,
10000039,Clostridium botulinum B,Homo sapiens,Infant botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/B;PMID:12599363;PMID:12608714;PMID:15956371;PMID:551513;PMID:9746583,PMID:12599363;PMID:12608714;PMID:15956371;PMID:551513;PMID:9746583,
10000040,Clostridium botulinum B,Homo sapiens,Wound botulism,not curated,contact,skin,toxin=BoNT/B;PMID:15150338,PMID:15150338,
10000041,Clostridium botulinum C,Homo sapiens,Infant botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/C;PMID:1978909,PMID:1978909,
10000042,Clostridium botulinum E,Homo sapiens,Foodborne botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/E;PMID:11785568;PMID:11925710;PMID:12608715;PMID:12631917;PMID:12631920;PMID:15498162;PMID:15498179;PMID:1630429;PMID:2807675;PMID:332309;PMID:3373020;PMID:3797939;PMID:8421179;PMID:9136226;symptom=abdominal pain;symptom=disturbed vision;symptom=bradycardia;symptom=constipation;symptom=diarrhea;symptom=dilated pupil;symptom=dizziness;symptom=double vision;symptom=dry mouth;symptom=dysarthria;symptom=dysphagia;symptom=dysphonia;symptom=dyspnea;symptom=fixed pupil;symptom=hoarse voice;symptom=hypotension;symptom=mild hypotension;symptom=nausea;symptom=occasional diplopia;symptom=profound weakness;symptom=ptosis;symptom=throat pain;symptom=unreactive mydriasis;symptom=urinary retention;symptom=vomiting;symptom=weakness,PMID:11785568;PMID:11925710;PMID:12608715;PMID:12631917;PMID:12631920;PMID:15498162;PMID:15498179;PMID:1630429;PMID:2807675;PMID:332309;PMID:3373020;PMID:3797939;PMID:8421179;PMID:9136226,
10000043,Clostridium botulinum E,Homo sapiens,Infant botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/E;PMID:9413010,PMID:9413010,
10000044,Clostridium botulinum F,Homo sapiens,Hidden botulism,unknown,unknown,gastrointestinal system,toxin=BoNT/F,,
10000045,Clostridium botulinum F,Homo sapiens,Botulism,unknown,unknown,unknown,toxin=BoNT/F;URL:http://www.cdc.gov/nationalsurveillance/PDFs/Botulism_CSTE_2004.pdf,,
10000046,Clostridium botulinum F,Homo sapiens,Foodborne botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/F;URL:http://www.cdc.gov/nationalsurveillance/PDFs/Botulism_CSTE_2001.pdf,URL:http://www.cdc.gov/nationalsurveillance/PDFs/Botulism_CSTE_2001.pdf,
10000047,Clostridium botulinum F,Homo sapiens,Infant botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/F;URL:http://www.cdc.gov/nationalsurveillance/PDFs/Botulism_CSTE_2003.pdf,URL:http://www.cdc.gov/nationalsurveillance/PDFs/Botulism_CSTE_2003.pdf,
10000048,Clostridium botulinum,Bos taurus,Botulism,unknown,unknown,unknown,toxin=Clostridium botulinum neurotoxins;PMID:15214523;PMID:1638962,PMID:15214523;PMID:1638962,
10000049,Clostridium botulinum,Equus caballus,Foodborne botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=Clostridium botulinum neurotoxins;PMID:6394316,PMID:6394316,
10000050,Clostridium botulinum B,Bos taurus,Botulism,unknown,unknown,unknown,toxin=BoNT/B;PMID:12974340,PMID:12974340,
10000051,Clostridium botulinum C,Pelecanus conspicillatus,Botulism,unknown,unknown,unknown,toxin=BoNT/C;PMID:7126063,PMID:7126063,
10000052,Clostridium botulinum C,Vulpes lagopus,Foodborne botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/C;PMID:15472332;symptom=abnormal posture;symptom=cramp;symptom=decreased appetite;symptom=diarrhea;symptom=dyspnea;symptom=excess salivation;symptom=eye discharge;symptom=flaccid muscle tone;symptom=hind limb paralysis;symptom=paraplegia;symptom=recumbency;symptom=wobble,PMID:15472332,
10000053,Clostridium botulinum C,Vulpes,Foodborne botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/C;PMID:15472332;symptom=abnormal posture;symptom=cramp;symptom=decreased appetite;symptom=diarrhea;symptom=dyspnea;symptom=excess salivation;symptom=eye discharge;symptom=flaccid muscle tone;symptom=hind limb paralysis;symptom=paraplegia;symptom=recumbency;symptom=wobble,PMID:15472332,
10000054,Clostridium botulinum C,Mustelidae,Foodborne botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/C;PMID:15472332;symptom=abnormal posture;symptom=cramp;symptom=decreased appetite;symptom=diarrhea;symptom=dyspnea;symptom=excess salivation;symptom=eye discharge;symptom=flaccid muscle tone;symptom=hind limb paralysis;symptom=paraplegia;symptom=recumbency;symptom=wobble,PMID:15472332,
10000055,Clostridium botulinum C,Mustela putorius furo,Botulism,unknown,unknown,unknown,toxin=BoNT/C;PMID:4594379,PMID:4594379,
10000056,Clostridium botulinum,Equus caballus,Botulism,unknown,unknown,gastrointestinal system,toxin=Clostridium botulinum neurotoxins;PMID:14529139,PMID:14529139,
10000057,Clostridium botulinum D,Bos taurus,Foodborne botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/D;PMID:12839245,PMID:12839245,
10000058,Clostridium botulinum D,Bos taurus,Botulism,unknown,unknown,unknown,toxin=BoNT/D;PMID:6490511;symptom=ataxia;symptom=congestion;symptom=hyperemia;symptom=proteinuria,PMID:6490511,
10000059,Clostridium botulinum C,Equus caballus,Botulism,not curated,contact,unknown,toxin=BoNT/C;PMID:10935041,PMID:10935041,
10000060,Clostridium botulinum C,Ovis canadensis,Botulism,unknown,unknown,unknown,toxin=BoNT/C;PMID:10682765,PMID:10682765,
10000061,Clostridium botulinum C,Bos taurus,Foodborne botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/C;PMID:10826832;PMID:2750062,PMID:10826832;PMID:2750062,
10000062,Clostridium botulinum C,Bos taurus,Botulism,unknown,unknown,unknown,toxin=BoNT/C;PMID:9426946,PMID:9426946,
10000063,Clostridium botulinum,Anatidae,Botulism,unknown,unknown,unknown,toxin=Clostridium botulinum neurotoxins;PMID:8933705,PMID:8933705,
10000064,Clostridium botulinum D,Ovis aries,Botulism,unknown,unknown,unknown,toxin=BoNT/D;PMID:8544166,PMID:8544166,
10000065,Clostridium botulinum C,Ovis aries,Botulism,unknown,unknown,unknown,toxin=BoNT/C;PMID:8544166,PMID:8544166,
10000066,Clostridium botulinum D,Capra hircus,Botulism,unknown,unknown,unknown,toxin=BoNT/D;PMID:8544166,PMID:8544166,
10000067,Clostridium botulinum B,Equus caballus,Botulism,unknown,unknown,unknown,toxin=BoNT/B;PMID:2238423,PMID:2238423,
10000068,Clostridium botulinum A,Bos indicus,Botulism,unknown,unknown,unknown,toxin=BoNT/A;PMID:2180199,PMID:2180199,
10000069,Clostridium botulinum E,Gavia immer,Foodborne botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/E;PMID:3411704,PMID:3411704,
10000070,Clostridium botulinum C,Anas gibberifrons,Botulism,unknown,unknown,unknown,toxin=BoNT/C;PMID:4078968,PMID:4078968,
10000071,Clostridium botulinum C,Anatidae,Botulism,unknown,unknown,unknown,toxin=BoNT/C;PMID:320751;PMID:6737616,PMID:320751;PMID:6737616,
10000072,Clostridium botulinum C,Anas platyrhynchos,Botulism,unknown,unknown,unknown,toxin=BoNT/C;PMID:6737616,PMID:6737616,
10000073,Clostridium botulinum C,Tringa melanoleuca,Botulism,unknown,unknown,unknown,toxin=BoNT/C;PMID:6737616,PMID:6737616,
10000074,Clostridium botulinum C,Meleagris gallopavo,Botulism,unknown,unknown,unknown,toxin=BoNT/C;PMID:6636492,PMID:6636492,
10000075,Clostridium botulinum C,Gallus gallus,Foodborne botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/C;PMID:7046721,PMID:7046721,
10000076,Clostridium botulinum C,Panthera leo,Foodborne botulism,food,vehicle-borne ingestion,gastrointestinal system,toxin=BoNT/C;PMID:4049682;symptom=ataxia;symptom=extraocular muscles paralysis;symptom=fixed dilated pupils;symptom=hind limb paralysis;symptom=inability to swallow;symptom=recumbency,PMID:4049682,
10000077,Francisella tularensis,Homo sapiens,Tularemia,Arthropoda,vector-borne bite,unknown,PMID:11386933;PMID:11757506;PMID:11757513;PMID:11900351,PMID:11386933;PMID:11757506;PMID:11757513;PMID:11900351,
10000078,Francisella tularensis,Homo sapiens,Tularemia,not curated,contact,skin,PMID:11386933;PMID:11757506;PMID:11757513;PMID:11900351;PMID:8861026;symptom=anorexia;symptom=chills;symptom=diarrhea;symptom=dry cough;symptom=headache;symptom=inflamed eyes;symptom=joint pain;symptom=lymph gland swelling;symptom=malaise;symptom=mouth sore;symptom=muscles ache;symptom=painful lymph glands;symptom=pharyngitis;symptom=pneumonia;symptom=progressive weakness;symptom=skin ulcer;symptom=sudden onset of fever;symptom=throat pain;symptom=toxemia;symptom=weight loss,PMID:11386933;PMID:11757506;PMID:11757513;PMID:11900351;PMID:8861026,
10000079,Francisella tularensis,Homo sapiens,Tularemia,food,vehicle-borne ingestion,digestive system,PMID:11386933;PMID:11757506;PMID:11900351,PMID:11386933;PMID:11757506;PMID:11900351,
10000080,Francisella tularensis,Homo sapiens,Tularemia,air,airborne,respiratory system,PMID:11386933;PMID:11757506;PMID:4089543;symptom=sudden onset of fever;symptom=chills;symptom=dry cough;symptom=headache;symptom=joint pain;symptom=muscles ache;symptom=progressive weakness,PMID:11386933;PMID:11757506;PMID:4089543,
10000081,Francisella tularensis,Homo sapiens,Tularemia,unknown,unknown,gastrointestinal system,,,
10000082,Francisella tularensis,Homo sapiens,Tularemia,not curated,mechanical,unknown,PMID:11757506,PMID:11757506,
10000083,Francisella tularensis,Rodentia,Tularemia,food,vehicle-borne ingestion,digestive system,PMID:11757513;PMID:1370846,PMID:11757513;PMID:1370846,
10000084,Francisella tularensis,Oryctolagus cuniculus,Tularemia,Arthropoda,vector-borne,unknown,PMID:11757513;PMID:1370846,PMID:11757513;PMID:1370846,
10000085,Francisella tularensis,Lepus,Tularemia,unknown,unknown,unknown,,,
10000086,Francisella tularensis,Cavia,Tularemia,unknown,unknown,unknown,PMID:11757513,PMID:11757513,
10000087,Francisella tularensis,Conepatus,Tularemia,unknown,unknown,unknown,PMID:11757506,PMID:11757506,
10000088,Francisella tularensis,Canis lupus familiaris,Tularemia,unknown,unknown,unknown,PMID:11900351,PMID:11900351,
10000089,Francisella tularensis,Homo sapiens,Ocular tularemia,air,airborne,eye,PMID:11386933,PMID:11386933,
10000090,Francisella tularensis,Homo sapiens,Ulceroglandular tularemia,air,airborne,skin,PMID:11386933;PMID:11757506;symptom=chills;symptom=fever;symptom=headache;symptom=malaise;symptom=painful reginal lymphadenopathy;symptom=skin ulcer,PMID:11386933;PMID:11757506,
10000091,Francisella tularensis,Homo sapiens,Ulceroglandular tularemia,not curated,contact,skin,PMID:11386933,PMID:11386933,
10000092,Francisella tularensis,Homo sapiens,Ulceroglandular tularemia,Arthropoda,vector-borne bite,skin,PMID:11386933,PMID:11386933,
10000093,Francisella tularensis,Homo sapiens,Glandular tularemia,air,airborne,skin,PMID:11386933,PMID:11386933,
10000094,Francisella tularensis,Homo sapiens,Oropharyngeal tularemia,air,airborne,respiratory system,,,
10000095,Francisella tularensis,Homo sapiens,Oropharyngeal tularemia,food,vehicle-borne ingestion,digestive system,PMID:11386933,PMID:11386933,
10000096,Francisella tularensis,Homo sapiens,Bronchopneumonia,air,airborne,respiratory system,,,
10000097,Francisella tularensis subsp. holarctica,Homo sapiens,Glandular tularemia,Arthropoda,vector-borne bite,unknown,PMID:15109407;symptom=enlargement of lymph nodes;symptom=fever;symptom=headache,PMID:15109407,
10000098,Francisella tularensis subsp. holarctica,Ondatra zibethicus,Tularemia,unknown,unknown,unknown,PMID:15109407,PMID:15109407,
10000099,Francisella tularensis subsp. holarctica,Mus musculus,Tularemia,unknown,unknown,unknown,PMID:15109407,PMID:15109407,
10000100,Francisella tularensis subsp. holarctica,Castor canadensis,Tularemia,unknown,unknown,unknown,PMID:15109407,PMID:15109407,
10000101,Francisella tularensis subsp. holarctica,Arvicola terrestris,Tularemia,unknown,unknown,unknown,PMID:15109407,PMID:15109407,
10000102,Francisella tularensis subsp. holarctica,Cynomys ludovicianus,Oropharyngeal tularemia,unknown,unknown,respiratory system,PMID:15109407,PMID:15109407,
10000103,Francisella tularensis subsp. holarctica FSC200,Homo sapiens,Tularemia,unknown,unknown,unknown,PMID:12843022,PMID:12843022,
10000104,Francisella tularensis subsp. mediasiatica,Homo sapiens,Tularemia,unknown,unknown,unknown,PMID:12648943,PMID:12648943,
10000105,Francisella novicida,Homo sapiens,Tularemia,contaminated water,vehicle-borne ingestion,digestive system,PMID:15845234,PMID:15845234,
10000107,Francisella tularensis subsp. tularensis,Homo sapiens,Tularemia,air,airborne,unknown,PMID:11386933,PMID:11386933,
10000108,Francisella tularensis subsp. tularensis,Homo sapiens,Tularemia,Arthropoda,vector-borne bite,unknown,PMID:12843022,PMID:12843022,
10000109,Francisella tularensis subsp. tularensis,Homo sapiens,Tularemia,not curated,contact,unknown,PMID:12843022,PMID:12843022,
10000110,Francisella tularensis subsp. tularensis,Homo sapiens,Tularemia,food,vehicle-borne ingestion,digestive system,PMID:12843022,PMID:12843022,
10000111,Francisella tularensis subsp. tularensis,Homo sapiens,Tularemia,not curated,mechanical,unknown,PMID:12843022,PMID:12843022,
10000112,Francisella tularensis subsp. tularensis,Oryctolagus cuniculus,Tularemia,unknown,unknown,unknown,PMID:12843022,PMID:12843022,
10000113,Francisella tularensis subsp. tularensis SCHU S4,Homo sapiens,Tularemia,unknown,unknown,unknown,,,
10000114,Francisella tularensis subsp. tularensis,Homo sapiens,Pneumonic tularemia,air,airborne,respiratory system,PMID:11386933;symptom=bronchiolitis;symptom=chest pain;symptom=dyspnea;symptom=hilar lymphadenitis;symptom=pharyngitis;symptom=phlegm;symptom=pneumonitis,PMID:11386933,
10000117,Yersinia pestis,Homo sapiens,Plague,not curated,contact,unknown,PMID:10807389;PMID:10807389;PMID:11586360;PMID:12923098;PMID:8975114;PMID:8993858;PMID:8993858,PMID:10807389;PMID:10807389;PMID:11586360;PMID:12923098;PMID:8975114;PMID:8993858;PMID:8993858,
10000118,Yersinia pestis,Homo sapiens,Plague,Arthropoda,vector-borne gastro-intestinal,unknown,PMID:11586360;PMID:12923098;PMID:8975114,PMID:11586360;PMID:12923098;PMID:8975114,
10000119,Yersinia pestis,Homo sapiens,Plague,air,airborne,unknown,PMID:11586360;PMID:12923098;PMID:8975114,PMID:11586360;PMID:12923098;PMID:8975114,
10000120,Yersinia pestis,Rodentia,Plague,Arthropoda,vector-borne gastro-intestinal,unknown,,,
10000121,Yersinia pestis,Rattus sp.,Plague,Arthropoda,vector-borne gastro-intestinal,unknown,PMID:10807389,PMID:10807389,
10000122,Yersinia pestis,Marmota,Plague,Arthropoda,vector-borne gastro-intestinal,unknown,,,
10000123,Yersinia pestis,Rattus rattus,Plague,Arthropoda,vector-borne gastro-intestinal,unknown,,,
10000124,Yersinia pestis,Cynomys,Plague,Arthropoda,vector-borne gastro-intestinal,unknown,PMID:10807389,PMID:10807389,
10000125,Yersinia pestis,Spermophilus,Plague,Arthropoda,vector-borne gastro-intestinal,unknown,PMID:10807389,PMID:10807389,
10000126,Yersinia pestis,Spermophilus variegatus,Plague,Arthropoda,vector-borne gastro-intestinal,unknown,,,
10000127,Yersinia pestis,Neotoma,Plague,Arthropoda,vector-borne gastro-intestinal,unknown,,,
10000128,Yersinia pestis,undetermined Sciuridae 'chipmunks',Plague,Arthropoda,vector-borne gastro-intestinal,unknown,,,
10000129,Yersinia pestis,Peromyscus maniculatus,Plague,Arthropoda,vector-borne gastro-intestinal,unknown,,,
10000130,Yersinia pestis,Felis catus,Plague,Arthropoda,vector-borne gastro-intestinal,unknown,PMID:8993858,PMID:8993858,
10000131,Yersinia pestis,Felis catus,Plague,food,vehicle-borne ingestion,digestive system,PMID:8993858,PMID:8993858,
10000132,Yersinia pestis,Canis lupus familiaris,Plague,Arthropoda,vector-borne gastro-intestinal,unknown,PMID:8993858,PMID:8993858,
10000133,Yersinia pestis,Canis lupus familiaris,Plague,food,vehicle-borne ingestion,digestive system,PMID:8993858,PMID:8993858,
10000134,Yersinia pestis,Oryctolagus cuniculus,Plague,Arthropoda,vector-borne gastro-intestinal,unknown,PMID:8993858,PMID:8993858,
10000135,Yersinia pestis,Gerbillinae,Plague,Arthropoda,vector-borne gastro-intestinal,unknown,PMID:8993858,PMID:8993858,
10000136,Yersinia pestis,Homo sapiens,Bubonic plague,Arthropoda,vector-borne gastro-intestinal,skin,PMID:10807389;PMID:8975114;symptom=bubo;symptom=chills;symptom=extreme fatigue;symptom=fever;symptom=headache;symptom=muscles ache,PMID:10807389;PMID:8975114,
10000137,Yersinia pestis,Homo sapiens,Bubonic plague,not curated,contact,skin,,,
